"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"14394281","8274","214309","9926","3893","1089","2049","723","9952","1973","18833","3044","37275","4042","37569","3709","49894","4887","153509","7751","70223","5113","152547","7929","216259","8444","253676","9450","270166","8543","291098","9702","3596122","33988","605757","15636","903064","16332","2032183","25432","1383565","22092","2620339","25196","1012174","16471","290401","8512","169424","7219","0400000US12","Florida"
"6683767","7806","88425","5571","1251","693","1331","486","3259","1014","7313","1706","14169","2399","12419","2095","18867","2770","67825","6009","39500","3667","77757","4555","126190","7340","167135","7694","183184","7058","117111","5551","1560987","24829","318315","9434","368782","12225","1013826","19007","496008","13240","1244449","20604","534649","12827","132042","5520","88973","5139","0400000US13","Georgia"
"985914","1476","9968","1629","143","165","392","268","92","94","2131","907","2075","816","2088","712","1982","659","9244","1744","3559","948","8271","1829","8504","1456","17464","2521","11790","1964","12292","1724","245751","6789","21817","2557","55400","3747","157806","6208","105951","4655","205033","6153","66761","3486","24187","2015","13213","1627","0400000US15","Hawaii"
"1065982","3373","13845","1873","102","148","123","166","391","356","798","525","2224","814","960","481","1564","585","7738","1442","2781","1068","9204","1859","13351","2049","16383","2020","19355","2264","17715","1912","233224","7862","59443","4877","90923","4576","196662","7818","102284","4510","189566","6926","60161","4223","15330","2035","11855","1804","0400000US16","Idaho"
"8661938","4801","104838","6406","1542","581","987","384","3619","921","10067","1631","20649","2466","18323","2373","22852","2563","121691","6536","27385","2969","124614","6842","100189","5764","135380","5322","155233","5868","144233","6117","2004321","21697","309871","8217","569835","11823","1234767","18840","698002","12278","1757697","15944","803408","14204","184590","7258","107845","5086","0400000US17","Illinois"
"4363573","5516","33697","2285","473","241","461","316","1354","631","2083","749","3894","944","4625","1285","4731","897","25010","3273","13201","1934","75412","4565","70736","4066","107693","5054","102468","6059","68298","3802","1274406","16484","222369","8168","288014","7828","612386","10204","364142","10110","697223","12539","286021","7778","61351","3815","43525","3528","0400000US18","Indiana"
"2074504","3958","15482","1857","126","105","393","484","631","458","1318","658","2723","896","843","360","1823","724","8723","1428","4102","932","30342","2366","19323","1693","26707","2618","33553","2337","25576","2488","578730","9143","86182","3741","152488","5024","292120","6931","236728","6452","377035","9018","124708","4386","33674","2506","21174","1869","0400000US19","Iowa"
"1888479","4436","16688","1957","497","310","198","181","998","453","908","470","2739","843","3073","911","2476","935","13173","1833","7183","1561","24015","2574","23684","2863","27207","2441","36780","3056","24135","2372","422313","7344","78965","4275","155741","5799","290335","6206","158308","5517","384495","8102","157694","5288","33557","2210","23317","1911","0400000US20","Kansas"
"2988790","4406","30726","2844","341","215","369","283","1065","497","2782","1109","4882","1172","5767","1434","7670","1340","17541","2023","22411","2175","90397","4510","67440","4564","79703","4547","72037","4378","40833","3333","799916","12670","202625","6104","197430","6292","413620","9812","235061","8413","406865","8649","207579","7610","52767","2903","28963","2547","0400000US21","Kentucky"
"3095255","5801","37365","2775","800","511","291","246","1874","769","1779","715","6546","1454","4690","1012","11620","1757","21813","3064","25608","2514","47547","3922","67050","5013","98438","5543","101833","5174","49516","4065","884714","14304","171819","7461","161496","6976","492715","9743","189683","7770","470739","10264","170535","6596","49216","3339","27568","2320","0400000US22","Louisiana"
"961240","2182","4411","1061","138","143","182","168","475","315","330","320","741","494","540","342","1266","613","1616","669","2351","835","15126","1630","10602","1503","16561","2098","15510","2544","9750","1579","265076","7091","49256","3645","58358","3470","126063","5736","93335","4229","187513","5838","71715","3427","18480","1859","11845","1457","0400000US23","Maine"
"4102486","3202","46682","3624","494","250","2066","721","1929","610","4558","1463","7648","1541","5562","1250","9252","1920","36097","4388","17232","2100","42354","3912","50342","3861","68327","4152","69808","4843","63315","3893","901946","15393","127379","6266","241562","7412","547820","14165","266499","7943","866352","13975","505272","10918","112754","5380","107236","5057","0400000US24","Maryland"
"4706644","2304","65556","5028","603","419","1950","775","2631","1081","5942","1194","10494","1997","17011","2050","15790","2273","30686","3334","15557","2095","47276","3614","50198","4179","64363","4673","64775","4670","66517","4269","1051158","16950","133265","5476","227193","7104","521512","10599","362478","9287","1086715","13983","601150","11576","135323","5311","128501","4968","0400000US25","Massachusetts"
"6728347","3741","72507","3735","810","355","1105","473","1614","670","3701","1011","5355","1222","4134","945","10421","1459","24285","2650","14203","2026","63004","3110","81031","4188","136278","6143","142027","6738","102425","3983","1704085","16820","275387","7129","510771","9757","1082642","13379","622089","10660","1145546","13438","535769","11486","111288","4649","77870","3579","0400000US26","Michigan"
"3700935","3137","43467","3179","464","291","487","292","928","459","1741","759","3178","912","3642","969","3196","982","14458","2283","5867","1114","34765","2500","24376","2360","38653","2527","45802","3155","46282","2695","823342","12125","117828","4570","254968","6336","539531","9213","413953","8036","847584","12158","305569","7229","78232","3841","52622","3039","0400000US27","Minnesota"
"1952337","5129","28332","2622","464","428","604","339","551","376","2861","1094","3300","1075","4155","975","6652","1501","15049","2179","15789","2317","35055","2990","40802","3867","62730","4239","70403","4283","36062","3173","478161","11565","127629","6267","109253","5492","328751","10059","179135","7400","253036","8078","111893","6006","24201","2617","17469","2199","0400000US28","Mississippi"
"4097212","5025","35703","2766","319","222","385","239","876","491","1202","466","3830","980","3483","997","5423","1287","13544","2032","9959","1426","70847","3033","56301","4184","92644","4959","101928","5053","57180","3514","1081298","13328","188655","6525","293251","8349","622709","12419","316815","8772","706922","13550","320428","7202","67649","4267","45861","3222","0400000US29","Missouri"
"706329","1934","3347","785","25","48","0","165","178","247","249","228","281","277","188","222","120","89","420","226","487","213","9096","1433","5582","970","7965","1341","10705","1569","6930","1133","191118","6427","31281","2439","44316","2851","117071","5035","60796","3184","144135","5843","50044","3458","11866","1614","10129","1438","0400000US30","Montana"
"1232583","2867","12252","1820","14","25","0","155","202","211","695","517","2340","796","1632","565","2785","874","10651","2088","2366","889","14921","1564","11641","1544","15767","1810","20151","2273","15209","1620","289281","6659","42587","2438","93577","3668","199169","5948","125055","4502","244556","5820","90029","3893","21162","2326","16541","1813","0400000US31","Nebraska"
"1968167","1754","32904","3555","307","263","359","237","1256","582","2127","998","6439","1405","5437","1474","9600","2083","38437","3650","10744","1987","18091","2216","33735","3454","28817","2861","43225","3731","51883","3678","473687","10002","75464","4612","153443","6258","358921","9220","159610","7389","304948","9025","112195","5483","28328","2562","18210","1948","0400000US32","Nevada"
"937214","1882","4562","957","0","184","0","184","233","341","133","158","296","252","308","280","1084","482","1668","611","1990","704","7975","1219","9730","1667","13931","1794","12570","1822","10161","1370","225386","6681","41692","3507","58464","3296","121519","4529","91199","3869","205513","6066","97780","4778","17948","1987","13072","1823","0400000US33","New Hampshire"
"6166384","2697","85601","5636","1850","769","1082","427","2273","802","6715","1573","14597","2396","17257","2862","22167","2536","71345","4973","23181","2988","73386","4995","71631","6033","87020","4827","92644","5484","104010","5517","1602910","18557","154467","5858","311674","8765","712424","12300","392077","10875","1437307","16909","638113","13514","151341","5541","91312","4349","0400000US34","New Jersey"
"1377548","3020","17950","2106","495","462","90","104","815","468","2715","1044","5764","1397","4711","1437","6401","1362","26014","3136","7607","1481","20258","2736","28482","3307","36624","3463","35900","3350","17782","2063","297144","8710","72663","4403","85843","4541","239513","7794","106315","5362","198116","6168","115927","5229","24107","2701","26312","2487","0400000US35","New Mexico"
"13641473","4706","254262","9166","2955","929","4750","1219","10780","1988","19821","2615","41272","3552","42980","4020","79634","5389","169713","7583","76337","5760","200791","6910","215921","9197","234644","7963","264315","9061","297692","9994","3085341","26035","529682","11183","617781","12208","1559272","20791","1155067","17625","2727078","26972","1474536","14998","372093","9632","204756","7032","0400000US36","New York"
"6762644","8355","86814","5474","686","466","714","473","2519","1034","6646","1674","14347","2279","12435","1961","21743","2559","61037","5569","39322","3538","94310","5529","140381","7290","176447","6818","162702","5729","89316","4488","1483455","19936","302055","8640","425005","10723","1027840","15774","623813","13772","1277412","14785","511174","12097","110281","4667","92190","4541","0400000US37","North Carolina"
"492017","2619","3246","862","35","47","14","24","0","151","0","151","318","292","172","276","85","72","1190","517","1402","508","11680","1525","3040","642","5014","934","5104","789","5668","916","117123","4622","18547","2418","30922","1845","80799","3809","64255","3213","105625","4478","24169","2293","7182","1261","6427","1126","0400000US38","North Dakota"
"7896470","5197","70007","4927","642","322","1057","446","1158","513","3117","1314","6043","1863","4890","967","6204","1282","18418","2315","21269","2180","100961","6089","94802","4814","162429","6495","200417","7482","121860","5799","2360280","21490","304543","8272","545421","10280","1078506","14570","679330","12037","1329009","16436","573041","9686","126835","4931","86231","4684","0400000US39","Ohio"
"2557863","3011","25386","2164","228","166","537","278","1468","665","2350","845","4525","1038","3812","1259","5113","1191","23157","1901","10657","1357","31723","2205","43295","2631","58867","3091","74713","3458","38827","2616","681323","9218","127052","4582","188756","5597","417314","8290","188756","4863","421765","8107","149714","5515","32723","2638","25802","2050","0400000US40","Oklahoma"
"2804461","2990","30389","3047","223","205","538","338","1635","929","2465","951","5908","1795","3343","1017","4964","1393","25117","3281","5190","992","23532","2449","34044","4159","41027","4118","50828","3806","50382","3479","525568","10703","129362","5951","238288","7014","484560","12007","245431","8272","566244","11190","233801","7207","59402","3252","42220","3024","0400000US41","Oregon"
"8895727","4102","83750","5143","1044","414","1013","476","1673","582","4254","1318","10246","1776","7582","1401","13733","2131","28256","2956","24282","2228","121255","5603","112552","4705","182022","6740","197633","7726","127855","5632","2814891","21606","359911","9432","487639","8498","935635","15731","739478","13287","1611499","17068","740396","12267","169282","6126","119846","4962","0400000US42","Pennsylvania"
"730083","1245","9455","1644","327","405","84","139","803","576","1525","673","1887","817","5363","1358","2142","843","4434","1226","4031","1169","10268","1780","11134","1860","12754","1985","13570","2077","12267","1738","171457","6910","32838","2741","41238","3716","93535","4830","62153","3466","141131","6187","69245","3842","15107","1583","13335","1785","0400000US44","Rhode Island"
"3319832","4393","34312","3225","1433","850","319","254","1645","617","2982","1217","5256","982","4691","1368","6889","1426","24647","3005","21030","2358","43808","3352","65329","4166","91747","5500","91044","5106","58723","4143","829223","14501","147876","6242","200919","7015","484998","14902","312720","9477","575843","10818","234180","7643","46010","3334","34208","2807","0400000US45","South Carolina"
"563108","2209","3068","723","79","126","26","45","81","72","244","305","572","458","614","525","308","198","1116","486","794","396","12520","1551","4848","981","8307","1350","9345","1572","8120","1353","150248","4720","25710","2491","37447","2538","82482","4260","62294","3705","110562","4922","30370","2403","6912","1124","7041","1236","0400000US46","South Dakota"
"4473487","5733","50805","2940","523","279","639","337","1747","726","4508","1372","8845","1653","7669","1559","8459","1337","33129","2777","27408","2916","93553","4894","80406","5566","106746","5682","124103","6241","75265","4656","1204266","16398","277871","8868","275055","9082","640910","11806","300500","10767","719980","12572","306012","8175","70973","3905","54115","3777","0400000US47","Tennessee"
"17472861","10241","342753","9926","2487","797","6224","1515","21475","2828","55455","5061","107254","5590","70579","4093","107412","6506","449249","12663","131699","6640","264981","8500","464107","12582","355185","11037","397205","12702","295077","10635","3639623","33824","786031","13641","1087549","20957","2728922","29226","1204220","20511","3266266","31535","1239900","20009","262623","8692","186585","6666","0400000US48","Texas"
"1741949","2456","15842","2423","156","160","484","359","1138","618","1864","668","2545","997","927","437","2590","1137","12307","2436","4352","1088","7744","1346","17908","2454","19022","2125","29820","3017","31067","2777","369046","8787","52776","3813","134157","5371","323883","9148","159609","5553","368302","8387","133071","5551","29826","1704","23513","1827","0400000US49","Utah"
"438654","893","2730","729","119","131","73","125","15","26","201","203","105","129","3","6","371","299","991","615","1136","467","6559","935","5163","1042","7573","1219","6722","1179","4708","844","111001","3749","16126","1698","22244","2043","52826","3554","37916","2632","97824","3782","45406","2892","10940","1544","7902","1103","0400000US50","Vermont"
"5685318","6556","71558","5299","1188","603","300","257","2760","886","4758","1390","9399","1729","10422","1937","14747","2001","38028","3876","35288","3253","67997","4103","81348","5061","104758","5706","106028","5719","81182","5565","1168567","16303","230590","7594","346176","9486","781225","13337","426955","10499","1209217","15736","651715","13528","137045","4881","104067","5303","0400000US51","Virginia"
"4889314","3630","57567","4546","669","312","1204","564","2565","1074","6058","1650","9333","1749","7317","1753","10721","2168","46159","5164","11858","1818","38402","3652","47664","3383","59479","4127","71689","4594","77546","4208","926068","15791","201581","7510","365062","9459","806079","13960","471400","8773","1059707","14025","435599","10952","101103","5072","74484","4648","0400000US53","Washington"
"1300347","2472","12750","1682","268","271","90","92","233","155","733","398","1070","465","1242","598","2146","699","4682","943","8984","1392","25852","3243","32825","2803","39852","3464","35059","3374","16329","2048","441013","10081","88277","4655","76061","3891","168448","5515","90019","5528","152256","6356","74951","3955","15674","1931","11533","1511","0400000US54","West Virginia"
"3918997","3342","35859","3271","451","264","491","235","1370","699","1022","613","3068","893","2076","647","4784","986","14355","2168","6641","1093","46162","2671","32017","2643","53411","3822","72011","3523","61826","3500","1080781","11195","142847","5064","270878","7162","565089","9340","411400","7889","742544","11028","265265","6681","60698","3011","43951","2917","0400000US55","Wisconsin"
"388747","2395","776","470","10","18","421","408","0","192","224","166","660","356","335","395","494","431","1335","652","666","422","2852","876","3365","1019","5794","1411","7260","1745","6233","1446","94610","5091","17220","1994","31095","2807","71151","4409","42212","2927","67108","4107","25746","2788","5441","1092","3739","939","0400000US56","Wyoming"
"2382526","3319","65233","5219","1551","821","643","595","12871","1987","20059","2457","33638","2880","43548","3342","32653","3135","71137","4420","47419","3729","62806","3821","95570","4956","37746","3238","53840","3863","23064","2629","582643","10913","64938","3523","40247","3128","274184","9069","228508","7327","424255","9110","115599","6083","26234","2944","24140","2750","0400000US72","Puerto Rico"
