"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree","id","Geographic Area Name"
"3282252","5930","39040","3061","548","308","461","258","1020","489","865","439","5527","1383","6086","1345","5915","1108","22587","2552","25613","3197","51168","3935","74582","4908","98123","5114","107489","5168","57858","3890","823871","13502","194192","7302","194514","6701","513465","13898","266452","8223","504626","11402","207767","8234","47504","3227","32979","3050","0400000US01","Alabama"
"469523","1628","2834","932","226","293","0","149","36","31","472","282","1086","448","653","227","692","473","1450","678","962","362","3710","904","3305","631","4718","687","7822","1483","6650","1179","103684","4654","24368","1932","34279","2908","95047","3894","38113","3276","87869","4250","36260","2506","10814","1644","4473","973","0400000US02","Alaska"
"4536954","2797","65412","3955","688","393","696","367","2594","820","7833","1736","14778","2127","11869","2004","13951","2419","67746","5421","18220","2443","67529","4666","79132","5358","82876","5224","103493","6494","94156","6358","923788","15353","187083","7812","340471","8517","815084","15784","382106","9702","788933","13333","339377","9160","74683","4010","54456","3365","0400000US04","Arizona"
"1987819","4624","25367","2579","281","208","676","538","383","264","2706","1075","4060","1354","4317","1234","5320","1391","17826","2197","12767","1902","32242","2469","40639","3455","48841","3763","60778","3646","33868","3474","550196","9651","128256","5876","137365","5464","313521","8480","135029","6021","278975","7518","109389","5216","25259","2772","19758","2279","0400000US05","Arkansas"
"26085263","4915","710249","12281","6303","1203","8012","1528","39504","3347","89372","5643","175348","7479","120049","5807","153477","6994","822582","18204","137226","6149","320635","11096","534047","13592","353403","10432","514536","12328","658767","13676","4835298","34699","594783","13065","1482236","18675","4121043","29532","1992703","22349","5285754","37074","2116434","23675","593576","10108","419926","9800","0400000US06","California"
"3671853","3754","32931","3121","208","192","731","553","1727","923","4278","1128","7050","1652","4634","1342","6804","1379","38129","3822","9499","1814","29582","3263","38644","3836","46562","4497","53395","3625","49679","3505","658172","12429","138812","6863","231893","8295","577144","12112","301203","8505","909032","12164","390965","9139","81730","3883","59049","4062","0400000US08","Colorado"
"2474718","1882","28423","2758","107","110","295","232","1350","663","2087","893","5384","1523","5559","1444","8620","1745","18844","3210","8136","1530","25967","2784","30655","3206","34851","3047","38147","3374","33843","2552","597727","11581","81189","4094","123572","4680","293948","8837","187970","7042","535933","9838","301008","7426","69842","3629","41261","3355","0400000US09","Connecticut"
"652636","1396","7442","1375","439","528","115","116","58","81","1016","600","1339","809","837","640","1090","547","3989","1164","2335","743","6032","1501","8619","1630","12947","1711","15378","1974","10719","1694","171293","5807","23517","2489","41122","3230","89864","4148","52556","3514","117581","4752","60228","3646","13582","1887","10538","1511","0400000US10","Delaware"
"472884","163","4840","1231","0","200","74","125","472","444","272","292","2082","1319","887","808","1824","970","2823","1254","1929","718","5024","1235","5755","1588","8385","1771","8782","1775","5100","1084","69891","4470","12290","1820","15015","1920","45092","3344","14002","2076","112629","5205","97445","3909","37729","3341","20542","2076","0400000US11","District of Columbia"
