"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree","id","Geographic Area Name"
"500779","2565","5081","1447","0","161","139","161","164","219","231","220","73","82","517","533","252","229","1057","579","630","303","8844","1305","3920","879","4851","1038","6443","1386","6306","1400","111463","4110","18032","1792","31351","2775","78100","3996","74715","4721","110664","4910","26850","2229","6960","1290","4136","865","0400000US38","North Dakota"
"8027035","6123","73490","4385","935","404","924","462","1590","643","1868","752","6492","1526","4240","1077","7330","1445","15612","2213","16451","2186","89332","4219","85414","5734","143793","6605","175317","7446","123612","5489","2307090","21622","318881","8005","558156","11139","1080163","17003","690735","12659","1431014","18320","660793","14777","142671","6278","91132","5000","0400000US39","Ohio"
"2607613","4266","24994","2152","334","177","642","330","1355","494","1603","516","3128","863","3070","903","5905","1231","21023","2205","9008","1357","27751","2617","39502","3075","55552","3069","63888","3266","43505","3247","687231","11591","129703","4265","202655","6438","411222","7224","207381","5789","434570","9174","167497","6919","41277","3407","24817","2433","0400000US40","Oklahoma"
"2952380","4092","31585","3908","628","525","784","448","1482","854","3810","1357","7799","2299","3043","1068","6797","1964","22681","3673","7458","1755","20297","3039","33778","4444","39008","3628","45502","4528","55273","3797","534813","12434","120998","5802","236970","8377","507623","10926","269508","10161","621190","11857","266350","7715","65460","4018","49543","3456","0400000US41","Oregon"
"8994627","4700","86049","5107","1912","834","1219","589","2631","1036","3958","1465","9491","2343","8052","1881","12527","2425","26898","3134","23246","3339","103323","6404","101917","5692","140263","6588","161678","6695","128934","5990","2761942","21519","352056","9084","498757","9659","933647","14206","773645","13161","1723226","17394","808356","13447","192203","7331","138697","5601","0400000US42","Pennsylvania"
"740695","1717","11509","2190","122","162","176","228","781","978","1169","763","2113","1091","2380","1159","3357","1225","2993","1020","2595","1035","7447","1448","9536","2299","11457","1776","13449","2003","11502","1722","176913","6894","33693","3550","48185","3463","85056","5502","61601","3874","147507","5576","78052","5106","16840","2297","12262","1895","0400000US44","Rhode Island"
"3492355","6015","35289","3216","1116","621","276","243","1124","817","1382","687","5323","1521","3265","1155","8049","1461","16906","2389","14921","2015","37766","3389","56644","4549","77591","5374","81656","6034","62183","4442","882586","16937","161044","7081","202018","7133","499163","13075","354718","9742","627144","14001","268230","8114","54446","3575","39515","3712","0400000US45","South Carolina"
"582850","2487","4552","1211","11","26","9","16","313","282","175","198","374","377","430","428","226","210","1689","840","445","253","8091","1063","5732","976","8407","1531","8552","1287","6151","1173","152145","5446","28366","2606","35843","2350","80103","4456","70838","4163","117943","4944","36966","3191","10011","1586","5478","1025","0400000US46","South Dakota"
"4640823","6486","50803","4426","819","495","1278","724","1877","964","911","432","9222","1868","5208","1561","9241","1960","28339","3244","21634","2655","77269","5170","69907","5432","97857","5421","111726","6371","78858","4464","1213413","17405","263719","7827","301224","9544","674027","12883","348066","9895","801616","13331","328826","10234","86098","5772","58885","3953","0400000US47","Tennessee"
"18477097","11694","367760","12091","6137","1409","5284","1685","20675","2640","43222","4915","98071","7065","64166","4813","96752","6798","421985","13742","118612","7092","236075","9957","447910","13612","338567","10611","373514","14508","325239","9638","3801672","37632","826184","16372","1136683","21081","2812813","33265","1334999","18479","3627047","31015","1438527","23390","313592","10870","221611","8767","0400000US48","Texas"
"1871902","2744","15307","2215","85","98","434","486","747","553","808","545","2971","944","2043","1146","2935","1010","11110","1978","4427","1646","6494","1674","14734","2587","17634","2581","29696","3762","32657","3041","367329","9733","56078","3822","148992","5844","313168","10605","191808","7136","427561","9394","160409","6293","36599","2867","27876","2176","0400000US49","Utah"
"445824","1565","3292","826","53","83","253","317","9","20","214","196","39","64","96","152","223","220","236","161","586","382","3285","817","3401","1029","6652","1302","6605","1491","3959","750","111598","4496","15751","1854","24420","1827","54430","3054","38133","2682","103068","4007","49452","2775","10821","1437","9248","1358","0400000US50","Vermont"
"5822007","7375","64066","4722","1227","442","1178","548","2292","1267","4167","1418","12571","2474","7723","1470","13540","2371","38968","4218","30567","2782","53500","4936","65713","5120","103765","6831","102977","4553","86131","4926","1168982","17582","229079","9181","349941","9439","741597","15980","453566","10132","1296041","21309","731653","15812","153341","6404","109422","5488","0400000US51","Virginia"
"5215063","4902","58951","5041","313","252","820","372","1789","804","6616","1788","10286","1961","6306","1578","10742","2124","40327","4333","9241","2298","34560","3488","50092","4515","51069","3929","69662","4344","86710","4848","945747","15473","188075","6309","386584","10901","810619","14138","533450","12073","1187508","17071","524199","12480","115719","4022","85678","4533","0400000US53","Washington"
"1280781","3158","9023","1677","270","267","71","126","555","448","66","94","836","522","1435","823","2410","1030","7202","1217","6497","1306","22139","2634","26397","2842","34095","3525","30950","3045","14639","1954","426284","9369","82055","4743","79975","4231","166526","6755","96253","5008","163614","6306","76634","4381","18825","2172","14030","2055","0400000US54","West Virginia"
"3992022","3923","38766","2604","836","510","508","288","628","321","798","402","2633","760","3076","929","3736","959","13604","2123","5524","1164","37912","3317","28755","2411","49145","3402","63137","4279","66161","2920","1087175","14206","135300","4936","264158","6368","553492","11032","438602","8587","775533","10334","299862","6813","70906","3780","51775","3257","0400000US55","Wisconsin"
"393136","2589","2045","756","83","135","124","215","0","203","128","228","244","205","52","92","42","59","1402","620","488","468","2629","1112","2655","933","4978","1040","4560","1419","6879","1682","92312","5152","21039","2352","34425","3406","69379","3976","44089","3390","66449","4630","28596","3003","5523","1067","5015","1271","0400000US56","Wyoming"
"2288030","2377","55176","4892","986","500","1026","666","11069","1898","14312","1994","31273","3360","34985","3431","30574","2890","64661","4237","39701","3811","52479","3986","82369","5278","31052","2901","45808","3176","19434","2505","593674","12984","51028","4122","35044","2810","240998","8344","241678","8641","430692","10597","120713","6497","32733","3322","26565","2950","0400000US72","Puerto Rico"
