"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree","id","Geographic Area Name"
"3300713","5481","47193","3557","360","263","631","357","817","388","2330","874","4927","1059","4780","1310","8391","1473","20973","2367","23197","2707","44198","3430","73634","5087","99449","5428","97075","5578","63739","3890","831521","12112","179715","7395","201485","6430","509746","11271","271030","6698","506680","11497","226164","6511","48931","3306","33747","2934","0400000US01","Alabama"
"478951","1792","2419","739","180","239","93","177","28","26","181","120","344","85","933","558","488","321","1670","566","709","326","3347","1025","3304","626","5927","1098","8082","1141","5272","1040","107185","4057","26743","2428","34525","2823","95125","5155","40819","3685","90861","4162","36182","2838","8730","1355","5804","1279","0400000US02","Alaska"
"4626409","2850","72943","4574","786","614","947","493","5175","1573","5657","1460","13724","2272","9882","2233","12423","2109","67404","4862","16043","2265","60231","4854","72242","5079","87962","5431","96643","5924","92377","4792","924912","17080","180585","7105","344919","8422","834817","13922","390843","9507","835779","13503","359075","9336","84523","5192","56517","3204","0400000US04","Arizona"
"1990448","4903","22575","2879","383","252","88","106","776","537","2031","811","5577","1579","2839","954","3982","1254","17610","2408","11512","1855","32784","2687","38125","3217","49153","3720","60789","4135","31398","2806","552084","8641","129885","6438","135748","7000","313961","10298","133315","5681","282608","9219","118134","5826","26203","2376","18888","2380","0400000US05","Arkansas"
"26304241","4823","715067","14414","6778","1392","12083","1830","39552","3377","90988","6205","188502","7756","111805","6249","152054","8833","790582","16557","127174","5929","321562","10928","518830","13422","369905","9222","491513","10612","682268","13355","4784486","35035","606449","11052","1494632","19918","4107766","34892","2031775","21426","5426164","33141","2203376","25030","622302","11977","408628","11194","0400000US06","California"
"3745506","3766","32644","2999","666","332","543","434","854","523","2463","1121","6809","1635","5468","1530","6345","1382","33155","4108","9582","1793","29680","2988","43479","3631","43605","3716","53523","4242","51770","3191","673089","12227","149055","6557","218245","7658","569121","11057","322529","8734","934273","12936","409712","8569","87779","3527","61117","3462","0400000US08","Colorado"
"2467737","2128","24016","2721","744","493","298","224","930","518","2168","910","4950","1205","5119","1166","7666","1542","17136","2164","8523","1500","28963","3471","26312","3310","38937","3935","33988","3070","34185","2902","597334","12616","81442","4506","120316","4979","294834","8001","186288","6606","541369","10224","297488","7945","74865","3938","39866","3159","0400000US09","Connecticut"
"662547","1199","6040","1285","143","176","0","193","573","549","189","227","864","503","1080","579","574","417","2838","1075","2802","915","7244","1529","8817","1976","13506","1860","14498","2252","11426","2108","188694","7699","23780","2675","44010","3925","78172","4242","52228","4128","121717","6057","58672","4302","12881","1971","11799","1751","0400000US10","Delaware"
"480158","376","5188","1056","71","117","0","203","146","238","958","649","869","553","1100","627","986","486","2927","1446","2251","823","2601","753","6063","1407","6547","1333","10766","2318","5270","1233","73974","4472","11274","1838","16770","1890","45436","4113","14086","1780","115097","4458","98988","4741","38236","2985","20554","2188","0400000US11","District of Columbia"
"14703671","8103","223815","10863","4650","1430","3915","1144","9201","1776","18621","3149","41632","4249","33159","3207","43685","3921","159627","9620","67742","6114","156715","8286","227733","10648","267364","11083","289107","11390","308247","11255","3629364","31191","620369","14484","937204","17250","2023944","26941","1429121","24027","2675907","28563","1061264","17354","307323","10789","163962","7648","0400000US12","Florida"
"6785395","7007","95293","6209","1321","649","1572","806","2296","963","6880","1834","16702","2894","12567","2545","16648","2841","65161","5535","36651","3904","79516","5964","124075","5729","168562","6565","175719","8560","119663","7684","1550795","23977","333285","10360","372145","9189","1022060","17184","518208","14034","1270275","16078","560593","10446","145085","7067","90323","4720","0400000US13","Georgia"
"990937","1287","10986","1864","308","292","447","328","448","389","890","437","2021","902","1642","761","2473","825","8014","1464","2363","825","6491","1632","8999","1532","10842","1964","12203","1896","11536","2279","255380","7353","22363","2627","53877","3667","158800","5719","104261","4400","211850","6366","67803","3870","21989","2370","14951","1932","0400000US15","Hawaii"
"1087265","2780","8929","1552","260","249","233","202","258","328","805","518","2033","916","1528","731","1306","650","8129","1568","2787","877","8166","1557","13134","2187","16159","2242","23213","2656","17189","1918","243314","8048","59552","4834","91151","5262","184334","6917","104375","6190","203363","7001","65673","4443","17642","1958","13732","1752","0400000US16","Idaho"
"8665219","5171","102997","4592","1296","476","2188","622","3207","983","10971","1848","18057","2195","16704","2610","24593","2993","105832","5768","23088","2468","120977","6529","92615","5334","136674","6479","159515","7113","147713","6133","1942508","21493","307884","8770","559821","9832","1263305","17740","682989","11928","1813840","18696","830129","14153","188580","7028","109736","5086","0400000US17","Illinois"
"4392576","5286","37363","2790","522","260","887","455","1924","887","2653","1014","4370","1126","4713","1375","6681","1321","22157","2740","11148","1750","72324","4161","69180","4692","98154","5349","107404","5611","72019","4411","1250854","14078","231028","7938","291768","8690","608445","12852","374136","10901","716293","12562","301847","8620","64188","4197","42518","2834","0400000US18","Indiana"
"2087020","3608","13969","2010","533","285","450","278","148","138","1435","731","1776","587","2248","883","2723","888","10807","1962","3569","815","28584","2629","19266","2063","25179","2115","34575","2519","26836","3061","569965","9618","79567","3897","150902","5514","287271","6852","234055","6212","398242","8617","135083","5328","35270","3213","24567","2609","0400000US19","Iowa"
"1891936","3942","17349","2083","261","199","151","132","608","326","2378","894","2446","673","3008","987","2487","860","13855","1819","4779","986","21169","2277","19806","2038","26197","2382","36414","3231","27935","2635","419534","10229","76760","4059","147685","4977","290658","7869","157030","5732","390861","8760","170982","5866","37627","2756","21956","2373","0400000US20","Kansas"
"2995509","4084","31865","2963","349","228","838","637","1395","696","2114","723","4715","809","3713","1024","5170","1444","18187","2448","18333","2292","84046","4821","59377","4507","77815","4169","76218","4877","44325","3599","769421","11453","198878","7489","196649","6100","443391","10260","256369","7708","419081","9942","202997","6861","51228","3344","29035","2568","0400000US21","Kentucky"
"3115020","6064","40355","3515","1049","715","234","174","1039","459","1961","740","5785","1184","4527","1075","6741","1269","24005","2516","24331","2810","50902","4023","62925","5169","100662","5347","106388","6427","55534","3552","891304","16092","167969","7326","168026","6184","486089","14342","187288","7089","473299","9993","169554","6784","56083","3918","28970","2526","0400000US22","Louisiana"
"966569","1470","5635","1270","231","233","87","106","45","54","271","206","195","145","393","341","561","337","2317","638","2525","773","13380","1771","10518","1511","14458","1834","13823","2107","9699","1318","272769","7530","45600","3077","57718","3385","130222","5218","94984","5205","181434","6126","79538","4145","18162","2222","12004","1191","0400000US23","Maine"
"4122508","4229","52012","3737","1336","647","1116","716","1942","651","3126","1116","8881","2040","7511","1594","10347","2204","35366","4120","13010","2078","31959","3227","46075","3820","60080","3918","68720","4143","65748","3627","914616","15381","131854","6750","237805","7543","541390","12525","268485","7818","860491","13680","528502","11492","128976","5097","103160","4815","0400000US24","Maryland"
"4727515","3062","63771","4417","971","598","945","504","2702","759","4976","1206","10010","1788","17142","2207","15618","2704","25879","3480","17062","2894","53239","4384","50203","3820","62187","4337","58960","4485","69020","5107","1023967","14708","132529","6292","222787","7714","511845","11012","363356","8695","1124295","12174","629351","11631","140558","5149","126142","4739","0400000US25","Massachusetts"
"6760402","4180","67407","4148","1418","577","1179","438","1505","676","3196","965","5258","1134","6857","1521","8460","1559","25888","2956","12770","2008","69467","4325","70914","3507","128799","5886","136595","4804","108196","4273","1702082","16930","276261","8627","516290","9896","1081902","14215","626128","12084","1162737","15121","547241","11010","119229","4842","80623","4121","0400000US26","Michigan"
"3725283","4171","40123","3525","558","392","916","528","1306","584","2089","930","4349","1245","2554","867","3878","1023","14787","2104","5196","1324","35902","3227","23104","2611","36191","2421","45707","3134","47228","3459","821200","12811","116737","4483","246325","6821","550387","9795","429762","6577","860125","12101","304937","7754","78752","3847","53170","2817","0400000US27","Minnesota"
"1957022","5315","22249","2506","104","121","76","83","369","302","1145","603","4594","1191","3518","1044","4625","1081","13954","2267","12856","1836","31234","2618","41150","3072","61358","5001","70856","4678","42646","4076","477515","11964","125820","7132","111813","6243","327182","9565","177695","7168","264865","8398","113113","5560","27550","2514","20735","2405","0400000US28","Mississippi"
"4121014","6151","31678","2988","1100","500","969","447","786","477","741","474","2081","663","3855","1156","5193","1221","13747","2158","9169","1568","67996","4738","53951","4145","85637","4638","93209","4503","59827","3743","1083372","11927","182014","5829","297778","9317","630017","11559","325244","8690","729511","12712","324191","9934","70157","4525","48791","3527","0400000US29","Missouri"
"712616","2841","2704","802","0","168","82","128","7","12","187","228","447","357","92","97","28","34","1352","728","1146","473","7408","1309","4911","1068","11051","1613","12429","1868","9394","1681","172231","5683","34184","3357","46019","2616","122204","4236","66134","3776","148944","4923","48718","3194","14909","1860","8035","1242","0400000US30","Montana"
"1243820","2830","13963","1563","383","312","64","73","798","689","1199","590","3548","1140","2359","901","2170","970","10061","2029","4889","1109","11976","1658","13551","2243","13870","1529","18546","1966","15968","1624","286360","6736","41988","2721","88321","4443","193039","6056","129795","5328","261931","6575","90070","3541","22938","2201","16033","1597","0400000US31","Nebraska"
"2010610","2209","34567","3060","506","322","1256","780","1237","586","3522","1364","7697","1618","4838","1259","7118","1662","40010","4491","7466","1531","14675","2140","36330","3582","33904","2984","40411","3402","46996","3841","498977","12174","86080","4937","150003","5808","366900","8952","156342","6252","308547","10637","114345","5451","32605","3008","16278","1687","0400000US32","Nevada"
"947586","2249","5583","1245","101","125","0","187","80","141","72","86","742","531","530","618","248","185","1361","870","2622","952","9284","1523","8354","1545","11940","2028","15788","1906","11193","1272","217686","7141","38559","3384","57739","3922","121538","4964","97488","4243","213461","6630","101003","5085","19392","2099","12822","1653","0400000US33","New Hampshire"
"6171172","2256","76104","5292","904","553","1345","625","3119","1105","8111","1680","15569","2137","20944","2307","22346","2676","73518","5237","22548","2823","72674","4582","67894","4918","81841","4922","89637","5262","104122","5203","1541029","20720","165044","7151","302184","8492","722105","13181","400332","11271","1460518","17545","670786","12006","153171","5541","95327","4593","0400000US34","New Jersey"
"1391381","3935","18382","2339","194","208","424","398","617","478","1725","620","5778","1283","3152","1161","5496","1312","24668","2935","7271","1542","16808","2322","25905","3244","32444","3185","36891","3595","23186","2272","310743","9173","59765","4132","85075","4264","237950","8772","116674","5835","215691","6623","116006","5227","22128","2022","24408","2371","0400000US35","New Mexico"
"13653592","4583","268369","9927","3708","1162","3963","1140","10407","1858","22664","3511","42704","3836","41176","4049","66659","4172","170575","9493","61450","4912","174301","7526","213845","8271","230684","7764","252653","8615","305134","8928","3036385","26917","538429","11013","637569","10073","1513289","18755","1191816","17949","2749619","27654","1521940","17492","391676","10635","204577","5851","0400000US36","New York"
