"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"1904528","4714","16975","2254","305","241","600","360","630","388","1133","551","3242","827","1318","564","2449","686","12104","1839","5347","1450","22402","2424","20841","2310","26458","2553","33465","2742","23994","2048","418378","8404","72391","3767","146845","4758","285361","7515","167548","5899","403542","8004","180331","6208","35827","2951","23042","2025","0400000US20","Kansas"
"3018953","4219","30971","3341","92","111","1093","646","1050","518","1442","506","4367","867","4060","1052","6661","1486","14731","1837","16377","2016","83391","5702","63543","3845","74448","4565","66433","3751","43827","3310","794365","13691","202695","8512","193533","7636","450737","11167","241585","8983","423916","10015","213672","8277","56806","4240","29158","2942","0400000US21","Kentucky"
"3120277","5335","36669","2762","582","369","20","37","1337","587","1984","781","4244","1118","4995","1151","7686","1648","23986","2937","23028","3014","48240","4733","60824","4061","85150","5129","110758","6014","54316","4596","896962","17068","164564","6757","173073","6825","493925","13090","185409","7926","482439","11918","178692","8592","53635","3500","27759","2659","0400000US22","Louisiana"
"971740","1752","5432","1480","213","213","161","162","234","257","128","155","14","30","551","377","948","464","1492","591","2686","943","13715","1863","10761","1437","14313","1744","13523","2086","10616","1886","252708","8506","48008","3004","59969","3814","124447","5554","100214","4145","193860","5884","84719","4533","20094","1821","12934","1865","0400000US23","Maine"
"4167604","3603","51818","4279","914","463","957","459","1586","667","4715","1590","10298","1968","8846","2148","9032","2003","28159","3607","17054","2108","32126","2986","52335","4451","61874","4421","67058","5585","73237","5144","891835","14229","128993","5296","243873","8018","544935","13120","285379","7347","889090","13074","534613","11605","123599","5072","105278","4325","0400000US24","Maryland"
"4788573","2290","66368","4883","953","632","796","379","1372","683","3766","1097","11023","1927","18428","2740","15186","2209","23040","3278","18969","2702","47239","4250","47659","3694","62796","5024","57386","4702","67477","4518","1033358","16702","130168","6212","231470","7645","511748","12683","360700","9740","1146586","15427","653567","11646","146185","5996","132333","4995","0400000US25","Massachusetts"
"6819310","4660","69818","4048","1226","550","1117","484","1560","685","3292","1077","4357","804","4757","996","10346","2087","22776","2479","14249","1724","59386","3644","67378","4990","109961","5262","141147","5748","108596","4107","1705561","18452","264278","6490","509987","9681","1084038","13373","649916","10958","1201375","16053","588250","11085","119225","4902","76714","3852","0400000US26","Michigan"
"3778416","3685","51708","3930","682","478","238","170","1584","666","1125","546","4752","1351","2054","826","3178","1099","11830","1816","5998","1241","31288","2957","20543","2185","33508","2940","45426","2849","47720","3709","821473","13278","117435","4795","252166","8214","536822","9185","426760","8069","888880","12034","330787","7214","86812","4273","55647","3854","0400000US27","Minnesota"
"1959341","5822","22270","2696","194","240","451","321","625","485","1194","642","3567","856","3094","902","4441","1110","13534","1894","13819","2084","31301","3221","44001","4294","61731","4612","64315","4238","41431","3324","474462","11709","121149","6376","115046","5976","316139","10654","198080","7386","265220","9234","117007","6605","27568","2968","18702","2327","0400000US28","Mississippi"
"4150275","6313","35670","3240","618","359","917","451","217","202","757","452","3051","1164","2929","901","4294","1165","10556","1595","8681","1376","61382","4303","53926","3619","83794","4107","96881","5373","63866","4413","1085755","18205","191750","7671","286651","8113","626311","11821","326430","8282","743797","13029","333121","9451","74909","4292","54012","3566","0400000US29","Missouri"
"723666","2332","4045","1317","289","273","215","204","80","134","0","174","28","41","0","174","337","391","1250","915","1205","553","8706","1498","4864","917","8763","1486","11882","1529","9065","1576","169931","6006","33210","2524","48038","3099","122169","5042","65772","4226","157326","5731","53533","3861","13596","1747","9362","1467","0400000US30","Montana"
"1259254","3118","15571","2360","385","271","982","698","1573","908","1248","588","2608","953","1314","447","1371","625","10470","1684","1937","806","11296","1401","13242","1792","15101","1784","17319","2281","15006","1719","287016","6327","44065","3195","94422","4236","197001","6164","128547","4616","263330","7089","95439","4473","23353","2115","16658","1864","0400000US31","Nebraska"
"2063180","2367","26851","3392","626","397","625","375","1199","737","2451","876","7844","1974","4172","1061","8071","1683","33606","3750","6047","1381","15862","2272","36427","3709","29646","3377","45955","4466","53635","3924","511692","12715","81154","5073","144751","5669","373778","8726","165508","6838","340110","9439","120878","5016","34858","2776","17434","1971","0400000US32","Nevada"
"958005","2078","5197","1186","176","152","228","289","268","287","161","179","137","165","126","143","434","384","1936","812","1564","634","7937","1369","10069","1902","13194","1890","11626","1684","13507","1844","227076","6882","41488","3124","59536","3774","111475","6166","97978","5219","216750","6656","104196","5687","18725","2136","14221","1717","0400000US33","New Hampshire"
"6234538","2703","83040","5144","1933","644","1197","422","2817","1005","5899","1565","14064","2529","16430","2591","23942","2501","57898","5196","21725","3226","69164","4903","63774","4343","78817","5127","83163","5707","104322","5335","1542650","19141","154208","5033","300563","7868","714077","13064","418148","9946","1506899","18697","712061","9977","161480","6008","96267","4633","0400000US34","New Jersey"
"1391475","3298","16865","2129","366","344","243","251","951","594","1590","623","4426","1074","4000","1100","4195","1076","24381","2744","7927","1840","15861","2054","26949","2756","28704","2892","35014","3794","22093","2731","306790","8388","63809","4768","86940","5133","246340","7740","117531","5836","211995","6750","115804","4818","25580","2649","23121","2465","0400000US35","New Mexico"
"13821132","5048","269908","9939","3589","1095","5369","1148","7346","1590","18808","2609","41961","4454","35215","4061","70734","5618","156267","7147","61112","4940","171977","9113","214552","9918","223129","7788","257088","8957","317890","8608","3078045","25810","556020","12471","637249","12596","1496579","22505","1218132","18772","2794920","26765","1592075","19765","391553","11247","201614","7129","0400000US36","New York"
"6991185","8361","78384","5224","1471","660","1101","511","2625","801","6566","1815","12641","2033","12865","2277","19758","2827","54631","4374","39028","3836","85664","5980","140211","7524","151857","7328","155138","7955","91849","3470","1508979","18511","291576","9973","427470","10152","1060468","17658","658224","13640","1406739","17830","571243","10296","121058","6047","91639","4747","0400000US37","North Carolina"
"495904","1865","2752","696","98","143","162","257","0","161","64","88","665","399","148","135","22","31","567","368","746","382","8712","1450","2569","794","6811","1563","6687","1045","5020","1041","111058","4691","19842","2134","30031","2395","81275","3835","66236","3734","108045","4628","30784","3011","7948","1473","5662","1366","0400000US38","North Dakota"
"7981885","4550","62145","4198","1935","853","1001","585","1286","558","5329","988","3169","1020","5458","1271","6771","1734","17234","2547","17942","2177","95962","5670","88234","4982","153546","5942","185771","7016","131905","6230","2350637","19034","310572","9542","532897","11606","1079921","15271","698820","14563","1381934","17454","626841","11145","134913","5757","87662","4494","0400000US39","Ohio"
"2586414","3402","25347","2203","730","676","550","434","729","383","1530","543","5715","1246","3949","967","4376","862","22785","2368","9638","1387","29626","2255","41646","2897","50568","2488","66535","3789","45290","2708","677688","11375","126557","4733","187202","6158","416700","8185","208717","5295","437243","8868","161597","4908","35948","2652","25748","2044","0400000US40","Oklahoma"
"2901195","4079","28566","3548","401","242","624","324","713","465","3415","1208","4209","1300","2939","1032","6063","1895","22899","3918","6908","1616","25716","2682","26758","2939","40224","3018","46688","4584","46258","4091","547333","12934","126477","5472","223542","8516","507262","11391","255783","8450","609160","10201","260431","6861","63263","4125","45563","4121","0400000US41","Oregon"
"8960842","4623","96327","5217","2026","812","1277","446","1710","586","3242","1077","9420","1725","7130","1450","11539","1854","27667","3370","18543","2129","104505","4854","100532","5398","156225","5835","177907","7371","126246","5171","2789937","22499","344560","9282","479282","10636","937534","15536","747997","14883","1697397","16085","800211","14807","184166","6893","135462","5555","0400000US42","Pennsylvania"
"736969","1733","10826","2454","93","148","0","217","686","413","1118","713","2503","1067","4633","1686","1010","437","4799","1508","2486","846","9147","1647","10169","2028","12488","1832","13101","2107","13233","1858","185518","6114","35095","2938","39926","3097","84738","5356","58876","3992","149699","5754","68812","4377","14606","1779","13407","1629","0400000US44","Rhode Island"
"3443851","5552","37883","3812","551","411","868","513","747","400","1909","1018","5769","1142","5633","1564","7556","1757","17978","2294","19920","2785","40495","3666","55875","4555","87039","5268","86701","5060","65924","4467","861201","15321","154871","6495","199848","8541","498590","13160","330153","10013","607024","11807","262659","8899","53525","4184","41132","2871","0400000US45","South Carolina"
"574559","1740","3090","811","105","169","9","18","196","187","94","108","175","128","431","296","234","167","1390","811","1510","522","9597","1510","4994","958","8670","1685","10007","1457","7124","1176","152075","5809","24634","2388","38089","2963","88193","4203","62204","3855","109803","4940","35691","2949","10754","1418","5490","1389","0400000US46","South Dakota"
"4588453","6112","43578","3510","855","468","634","411","1993","1073","1992","651","7082","1907","4803","1069","11295","2073","31456","3008","21858","2638","74990","5592","75472","4824","106898","5747","110130","5399","66848","4024","1220422","17620","267658","9577","292456","9453","661278","10791","332593","8648","790840","14517","327029","11198","78860","5067","57433","4255","0400000US47","Tennessee"
"18149346","10783","359423","12559","2655","722","5566","1399","21785","2923","44611","5368","100312","7569","61384","4715","96836","7053","426610","13749","117827","5769","235995","9335","455290","14244","335862","11967","390920","11651","313947","10115","3765663","43479","787013","14679","1093468","17767","2838733","29864","1323957","21807","3510311","35839","1371324","24099","290221","9345","199633","8030","0400000US48","Texas"
"1827035","2825","15564","2384","604","465","597","468","202","246","1357","867","2086","850","870","468","619","462","14838","2924","3073","1078","10312","2129","15341","2597","18200","2651","29712","3079","30160","3351","354114","11456","53964","3480","138241","5323","331740","9024","172999","5896","416804","9087","157207","5747","33505","2478","24926","2195","0400000US49","Utah"
"439267","1408","3198","1192","0","157","116","166","18","39","240","400","246","247","14","22","137","166","323","185","430","238","4924","976","3488","950","6773","1229","7261","1360","5252","893","113275","4826","14151","1667","24114","2285","49781","3245","37360","2661","98774","4432","48963","2824","11366","1443","9063","1421","0400000US50","Vermont"
"5779221","7685","71240","4504","1135","442","1321","669","1791","767","3381","1104","8880","2016","9069","2012","14529","1845","38387","4504","33401","3363","57126","4178","72565","4041","98883","6138","102391","5082","79278","5437","1171892","18422","224595","7983","342500","9495","753431","13596","456210","10095","1270190","18538","712006","13071","145034","6899","109986","4927","0400000US51","Virginia"
"5101968","4672","58122","4242","798","462","988","511","3919","1152","4837","1398","13147","2452","8427","1903","10762","2059","41884","3991","12181","2300","34269","3352","50735","4222","58816","4493","64615","3857","80463","4486","939483","16319","188801","7291","376181","10735","827434","15860","514987","11273","1130392","15951","492107","9402","112889","5311","75731","5090","0400000US53","Washington"
"1279350","3222","8708","1770","137","119","172","214","150","159","173","150","798","477","1464","550","2060","714","7270","1300","10973","1864","26287","2601","26542","3245","34258","3487","30346","3721","15923","1959","443031","8652","83621","5094","75084","5033","163403","7227","90494","5147","156378","7086","77079","3917","15623","1839","9376","1460","0400000US54","West Virginia"
"3958231","3518","34272","2734","810","401","607","306","807","444","1648","757","2880","837","3046","1034","1716","671","13512","2269","4931","1168","37277","2693","30912","2790","45438","3323","64356","3780","59759","3621","1077466","12008","137448","5767","258668","7134","546824","10605","433324","7548","782676","14060","301195","7112","70544","3540","48115","2775","0400000US55","Wisconsin"
"387700","2182","2026","1012","0","201","0","201","83","105","63","104","260","165","140","176","0","201","1062","624","864","491","3206","885","3072","853","4157","1024","6965","1619","5455","1126","93973","5034","20766","2393","29457","2643","68714","4182","40340","3377","67312","4431","30847","2840","5754","1128","3184","765","0400000US56","Wyoming"
"2343675","3831","62483","5579","953","581","100","122","8986","1800","18825","2451","33949","3353","39390","3394","31499","3319","68961","5590","45287","4444","60269","4062","91024","5649","34561","3084","45174","4447","18112","2838","593528","15111","60261","5635","35698","3597","249320","9298","242776","10524","428558","12172","121293","6814","28569","4107","24099","2751","0400000US72","Puerto Rico"
