"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree","id","Geographic Area Name"
"3309607","5907","37856","3272","273","209","400","302","601","470","2039","827","4645","1132","2979","905","5881","1502","18639","2494","23164","2418","40909","3323","64204","4874","85691","5103","96391","5282","63271","3653","850231","15526","179751","6838","194458","7524","514642","11433","278878","8974","528019","10136","228314","6902","51819","3781","36552","2923","0400000US01","Alabama"
"481561","2194","5109","1522","42","69","22","30","58","52","427","360","687","267","366","192","666","440","1770","542","1735","692","3364","693","2631","559","9164","1957","7798","1126","6197","1322","105599","4656","27533","2804","36507","3244","90478","4360","42724","3095","86444","4760","37005","2673","10673","1723","4562","974","0400000US02","Alaska"
"4711362","2707","66740","4270","642","406","1139","611","3316","1157","5063","1561","13415","1938","8611","1774","11678","2029","61914","4550","13602","2160","68580","4994","83412","5621","76432","5939","91705","6482","98649","5507","949695","15841","186798","7879","351294","9103","827515","13460","408070","11594","863062","15327","373079","9412","90457","5301","56494","3946","0400000US04","Arizona"
"2008398","4671","19952","2299","171","192","144","185","282","266","1706","731","5259","2005","3722","1153","4530","1131","17011","2409","12269","2126","27689","2899","32157","3198","47093","3908","61544","4874","34013","2915","557166","12777","126119","6319","133435","5579","310500","9072","143522","6298","301294","8647","116823","5615","30772","3043","21225","2331","0400000US05","Arkansas"
"26679273","5961","710279","13065","7469","1377","10333","1744","32492","3571","76416","5476","163406","8341","102560","6278","151318","7769","772518","17996","119991","6018","313211","10782","484032","12913","339253","10368","473072","12456","692952","15484","4937316","33486","603866","12167","1489912","24900","4151969","38452","2070661","22126","5616449","40234","2286009","24642","649019","14445","424770","10352","0400000US06","California"
"3822068","3950","40496","3657","261","213","696","332","1807","809","1680","650","5675","1484","2958","856","7205","1668","34392","3421","9992","2015","24189","2499","38901","3983","45863","4310","49487","4026","56034","4579","665293","12629","150302","5984","229050","8791","569781","11767","313309","8942","994894","11943","421760","10057","91918","4622","66125","4602","0400000US08","Colorado"
"2493854","1813","26455","3194","161","137","387","232","2551","1031","1850","875","4323","1421","6452","1571","5944","1688","18710","2463","7927","1518","27304","2811","24850","2949","41749","3723","32010","3183","38616","3864","599504","14457","77407","4955","131870","6080","279984","9770","201193","8317","533791","10420","311043","7706","76815","3821","42958","3508","0400000US09","Connecticut"
"673686","1263","7865","2357","147","114","186","249","490","434","69","69","533","351","473","370","819","487","4088","1260","2558","963","6232","1322","8000","1552","10251","1605","12567","1807","9273","1643","196249","6987","22060","2407","36066","2866","91900","5291","51777","3569","121442","5053","65823","3892","12528","2114","12290","1997","0400000US10","Delaware"
"494614","192","7111","2017","635","544","31","51","685","547","773","602","967","634","1081","1021","972","479","3436","1320","1420","704","4008","1084","5436","1470","6709","1476","8347","1526","6720","1245","72373","4602","12660","1860","17444","2080","44565","3464","15722","2793","118172","5279","103144","5381","39893","2834","22310","2391","0400000US11","District of Columbia"
"15020177","8023","220810","9542","4395","1153","3270","1177","9414","2267","14234","2284","37056","4361","32194","4490","48264","5134","146313","9925","62977","5109","131964","8348","205874","8353","254539","10569","259247","11123","315382","12161","3711112","37825","618928","16215","927715","14920","2054563","26550","1507434","20651","2839500","31510","1127371","18713","315744","8694","171877","6541","0400000US12","Florida"
"6896026","7876","87336","6324","753","497","799","420","4555","1846","5188","1458","14162","2898","9835","1802","17607","2758","66260","6007","33199","3513","73331","4993","121782","6456","168449","6513","169478","8760","120702","5851","1607824","25483","328677","11108","373094","10743","1020953","17177","540564","13524","1311611","19917","585455","14496","147724","6921","86688","5177","0400000US13","Georgia"
"997744","1487","10204","1755","131","120","110","128","137","151","1441","637","2440","1032","2080","1091","2026","776","7385","1444","2332","813","6209","1182","7799","1996","11843","2160","8825","1647","14169","2000","258133","7160","22361","2522","56498","3970","147954","6417","106987","4425","216993","6938","77325","5259","21497","2037","12865","1604","0400000US15","Hawaii"
"1111788","2996","8931","1777","534","534","67","118","666","473","678","468","1882","707","2065","842","1479","991","11372","2127","2262","754","6745","1478","12071","2649","15107","1968","18533","2488","19347","2784","248246","7935","64783","4801","93270","6391","198587","6808","107505","5708","202800","6832","66560","4250","14146","1978","14152","1961","0400000US16","Idaho"
"8707057","4107","116388","6036","1820","611","1442","641","3671","1176","9567","2017","18771","2424","12294","1952","21689","3480","102217","7098","25221","2579","111414","5553","96303","5247","127206","6459","148665","6077","153212","6281","1956954","21746","315220","8389","557926","12770","1236600","17136","692672","13641","1829903","18718","857509","15987","195094","6962","115299","5680","0400000US17","Illinois"
"4435317","5484","42269","3362","784","384","740","400","1611","733","2867","1272","4920","1102","5003","1396","4746","1240","21292","2804","12084","1995","64822","4394","65961","4234","101876","4961","104483","5800","71404","4169","1216294","14727","234473","8277","288975","9415","607163","14084","394092","11562","753268","13970","320548","8855","65072","4763","50570","3910","0400000US18","Indiana"
"2093909","4112","17134","1813","361","258","176","231","201","163","1275","580","1669","695","1735","771","2363","975","8771","1942","3534","710","28359","2571","19177","2423","25264","2702","34250","2519","21336","2161","554936","8998","84294","3886","153863","6180","286653","8167","242738","7470","406630","8590","141796","5114","32274","2699","25120","2483","0400000US19","Iowa"
