"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"15484502","8439","241600","10862","4386","1178","3052","1088","10882","2562","18196","3567","32942","4627","27546","3502","44445","5335","135530","9283","65235","6281","128950","7874","200718","10084","249245","9287","266672","9965","365236","13394","3739283","38504","656839","15101","986530","19798","2014851","28978","1538727","30925","2982643","35477","1235227","19805","353649","11651","182118","8842","0400000US12","Florida"
"7080222","10041","98933","7093","991","656","821","494","3326","1398","6730","1925","16344","3448","7872","1687","21104","3410","57127","5811","30402","4085","76279","5665","108755","7066","146649","8143","159909","8401","120783","6692","1611419","25594","328526","11700","405768","12545","1008786","21174","568130","14442","1410395","21510","640949","17679","152402","6921","97822","5448","0400000US13","Georgia"
"996668","1193","8906","1615","142","148","355","315","490","323","1467","865","1408","645","2764","985","2970","1104","9744","2412","2229","1034","5803","1500","6793","1492","8536","1569","11417","1984","12954","2005","245865","7672","27556","2834","60763","3392","145201","6057","106096","5328","219979","5955","77835","4239","22345","2240","15050","2040","0400000US15","Hawaii"
"1170997","3639","10775","2305","324","380","500","359","444","494","1465","836","1340","785","1222","576","1268","764","9054","2108","1854","798","6723","1740","11884","1900","15651","2446","17354","2457","20048","3032","252180","8511","53094","3548","99106","5010","205472","7952","124584","5893","220189","8394","81863","5129","19503","2495","15100","2370","0400000US16","Idaho"
"8694694","5650","111298","6357","2490","859","1239","475","4218","1532","8393","1898","12247","1967","10923","2379","15719","3012","101181","7774","23648","2985","96992","6530","80579","5452","118131","5769","134917","6127","160662","7265","1935552","24393","320059","8456","564910","13560","1172506","16713","710058","10012","1886240","19881","892226","14876","206788","8768","123718","5917","0400000US17","Illinois"
"4502015","6141","46010","3863","485","317","845","624","687","374","1972","933","3746","1184","5006","1611","5327","1260","18540","2519","10732","2296","68707","5021","60562","5286","82487","4905","92744","5775","70233","4967","1286464","16149","240361","8928","308841","9010","587813","12178","397627","9854","777771","14728","318939","8673","65304","4432","50812","4277","0400000US18","Indiana"
"2123004","4325","17427","2079","225","248","295","267","128","104","476","341","1543","842","2150","758","1625","777","7755","1656","3279","819","22991","3075","19618","2432","23543","2734","31212","3087","24214","2375","575335","10785","83487","3939","149482","5400","284388","6291","251578","7047","420199","8221","141152","5437","33335","3148","27567","2566","0400000US19","Iowa"
"1918081","3470","18957","2284","670","403","480","348","1651","870","1298","706","3745","1239","3957","1169","2970","1025","10221","2064","3116","1048","16734","1915","20738","2578","24162","2460","25898","2630","23160","2610","424095","11122","79940","4557","148250","5575","282299","6779","173251","6135","414851","8710","176966","6141","37264","2998","23408","2435","0400000US20","Kansas"
"3048442","5245","35629","3345","139","128","1301","782","565","249","1123","551","4765","1206","3154","1014","7026","1551","16214","2282","16172","2048","68671","4869","55511","4183","73032","4578","61472","4423","45879","3745","814916","11960","197727","7484","202203","7380","416832","12489","260188","7964","453040","10322","221989","6703","57552","4154","33342","3156","0400000US21","Kentucky"
"3140201","5912","36658","3616","267","197","467","284","482","319","730","432","3834","1477","4826","1473","6767","2112","19357","3258","19858","2595","45398","4062","64247","5614","84875","5838","100024","6290","53054","4384","893425","19206","172601","8162","178661","8411","468085","12521","202310","7135","503947","13683","194070","7357","55742","4392","30516","3404","0400000US22","Louisiana"
"991152","1709","5010","951","184","242","229","157","364","301","465","362","613","435","165","165","849","483","1707","718","1686","580","9511","1624","12445","2186","12043","1739","11058","1583","10985","1574","264179","6808","46929","3494","61146","3654","123577","5742","99008","5239","205722","6564","87322","4513","21060","2187","14895","1782","0400000US23","Maine"
"4183858","3738","58776","4754","577","381","393","258","1146","703","4117","1595","6100","1970","6292","1899","9905","1923","30969","3821","17645","2756","32401","3364","42074","3633","62540","5496","64258","4383","64959","4132","903664","15486","126972","6361","244221","8368","509326","11949","287293","11224","911781","15792","553133","11949","131090","5152","114226","4868","0400000US24","Maryland"
"4850576","2517","71817","4928","871","528","578","341","1965","1280","4753","1478","9682","1958","15813","2838","14588","2957","26364","4038","16106","2621","40875","4187","43458","3888","58287","4878","48377","3549","67407","4650","1015844","15799","142222","6295","229385","7492","499631","13002","360810","11254","1197208","19004","692415","13069","149956","6306","142164","5966","0400000US25","Massachusetts"
"6894627","4818","74987","3555","687","410","1417","484","1756","841","3185","1477","4317","1198","4713","1207","10162","1908","20212","2993","13412","2125","51187","3734","61224","4946","109243","5099","129451","5926","110334","5022","1732283","20151","273698","8989","515815","9715","1056955","16202","648794","11173","1252685","17909","606220","10551","126447","4163","85443","4475","0400000US26","Michigan"
"3847212","4098","47991","3605","661","378","526","314","1066","537","802","434","1588","781","1786","789","4847","1598","10531","2012","4613","1128","29319","2959","20857","2277","33607","2744","39749","2620","47747","2813","824041","12852","115956","5014","251001","7084","534720","10836","442578","8776","942830","13374","350476","8280","85082","4588","54838","3324","0400000US27","Minnesota"
"1979664","7223","24065","2931","248","354","264","250","597","428","1147","1103","1836","491","2416","850","4090","1436","10637","2112","12900","2163","33177","2985","37252","3609","57873","4631","71303","5150","33112","3480","470174","10500","128435","7060","110712","5974","330227","12407","207448","7499","270712","9718","124266","7494","26929","2909","19844","2828","0400000US28","Mississippi"
"4206162","5377","36461","3081","363","307","1137","665","765","595","1826","844","2591","875","2023","780","3775","1101","10804","2358","9346","1697","53288","4288","49641","4253","73814","4768","79867","5530","66114","3954","1108345","15125","200514","6745","297889","7976","602597","12257","333721","9722","775808","12972","361205","9031","78328","4373","55940","3741","0400000US29","Missouri"
"741950","2690","2479","955","14","29","0","177","0","177","0","177","356","286","230","199","42","48","811","402","353","314","7802","1197","4381","1239","8489","1722","9862","1553","7863","1419","175333","7053","35746","3207","50303","3485","119338","4974","69400","3590","171309","5235","52425","3639","14847","2358","10567","1758","0400000US30","Montana"
"1271770","2860","13165","2016","246","203","147","205","302","330","940","620","2699","1087","1975","1001","1729","647","9983","1632","2751","1353","9690","1556","11991","2013","11414","1589","15597","2026","18643","2323","282195","6589","44194","3339","94746","4228","185587","5597","141189","5378","277159","6885","104377","4623","24092","2027","16959","1905","0400000US31","Nebraska"
"2136466","2821","34025","3476","767","503","1087","527","941","715","2554","922","4731","1338","2891","1208","5701","1582","32634","3236","7131","1784","17441","2578","32122","4003","28620","3280","44640","3950","65630","4857","501540","11910","91877","5666","157547","5246","368199","10123","187469","7581","355837","8906","132910","6089","35939","2910","24233","2709","0400000US32","Nevada"
"979750","2122","6300","1206","342","275","110","134","270","233","675","520","1078","662","367","316","719","448","1694","852","763","386","7013","1331","10554","1702","10676","1775","13780","2247","11331","1892","232289","8160","42816","3835","58054","3832","116024","5488","96658","5354","224636","6793","109702","5662","20508","2144","13391","1737","0400000US33","New Hampshire"
"6191229","3082","88947","5855","2088","637","1477","628","4529","1234","6901","2168","12835","2592","15041","2523","18338","2823","61813","5596","19105","2732","56925","4338","63004","5220","64892","5433","75975","5207","107749","6388","1518321","22646","148000","6700","300667","8323","673873","12845","398984","11321","1555781","19254","720869","14788","167040","7272","108075","4650","0400000US34","New Jersey"
"1425988","3263","17204","2350","221","183","349","385","472","353","1449","729","3576","1538","3478","1160","3813","1181","26896","3495","7851","1547","17127","2536","29733","3709","28830","3578","34511","4281","25818","2994","309449","8520","66941","4002","88210","4978","235931","8331","129531","6330","221281","6835","119825","5841","25708","2575","27784","2391","0400000US35","New Mexico"
"13664734","5751","271688","9122","4782","1053","5091","1354","9420","1945","14312","2568","36693","3533","26634","3075","61288","4981","151035","8054","53136","4608","161460","7586","184209","8278","202238","8206","221739","8955","290505","9375","2981084","27438","543108","14082","640783","12265","1434723","22228","1204588","19809","2898440","28311","1633516","21787","421631","11575","212631","7396","0400000US36","New York"
"7187077","8518","80091","4418","1459","673","1266","707","2776","1046","6285","1502","14253","2336","11045","2725","16660","2687","54703","5101","32233","3532","78383","5570","131106","6833","144710","7434","145826","8123","98128","5216","1537065","23138","301977","11357","435870","10475","1044174","15727","727882","16073","1471420","19100","615828","14005","131379","6375","102558","4564","0400000US37","North Carolina"
"504375","3241","2955","1373","28","29","3","9","40","56","213","273","90","135","271","594","325","260","253","189","851","524","8255","1738","3426","1030","4346","1134","7218","1480","4745","1001","112015","5363","22417","2085","33313","3001","79498","4447","70716","3894","108527","5087","31714","3416","6772","1415","6384","1314","0400000US38","North Dakota"
"8049805","5770","73312","4976","1720","705","475","246","1902","778","2202","753","5112","1387","4584","1211","8285","2125","18915","2923","16126","2606","88384","5867","80658","5713","141792","6089","170330","7312","127050","5438","2314611","21090","313147","7987","546790","12857","1075224","19225","702601","12812","1464945","16618","660656","11526","139616","6891","91368","4443","0400000US39","Ohio"
"2619244","3562","25779","2532","109","99","446","317","341","224","2487","981","4736","1191","2554","704","5095","1345","19877","2719","8995","1471","30535","2736","41380","2991","46369","2864","66592","3829","47971","3466","685190","10518","140094","5396","186398","6899","409891","8277","207896","6126","447888","7515","166623","5883","43315","3373","28683","2602","0400000US40","Oklahoma"
"2988118","4526","28561","2615","1424","705","536","424","99","114","3491","1566","5073","1443","4816","1882","5898","1518","25566","4124","4569","1312","18184","2576","24450","3469","39042","3788","45818","4129","50872","4178","561087","11419","126156","6542","234012","7599","507046","12810","269102","9721","627911","12081","278908","8695","67715","4207","57782","3938","0400000US41","Oregon"
"9028036","4983","87504","6024","1675","934","2157","927","2659","884","2965","1348","7323","1915","4645","1350","13328","2783","27940","4085","21297","3272","102282","5364","95275","6007","147737","6527","161010","6799","134035","6042","2758116","23292","344930","10447","495732","10605","924330","16669","775694","13549","1761627","19057","827626","12217","189863","6617","138286","5560","0400000US42","Pennsylvania"
"746952","1820","11286","2073","174","201","225","240","499","333","704","510","991","607","2732","1047","1862","987","5229","1556","2920","1072","11075","2348","9811","2469","11131","2110","10524","2098","11044","2075","178974","7288","33308","3032","42163","3908","87821","5967","64204","5024","156087","6965","72512","4097","18950","2703","12726","1649","0400000US44","Rhode Island"
"3563204","6215","37866","3761","532","344","447","401","1259","702","2018","812","5213","1446","4244","1342","9107","1900","18919","2887","18143","2561","34898","3482","53591","4227","85838","5479","80390","5664","63213","5358","859406","13493","155854","6356","218906","7518","506252","12810","352549","9077","656496","13607","302770","9690","56354","4418","38939","3652","0400000US45","South Carolina"
"588029","2632","3736","1153","140","168","98","121","18","36","48","86","350","391","51","87","373","391","1187","681","1282","588","9179","1629","5272","1309","7788","1796","8660","1632","8112","1605","152869","5442","23775","2223","36972","2672","83504","4449","69831","3731","121231","5603","38132","3804","8827","1235","6594","1187","0400000US46","South Dakota"
"4693962","7052","45878","4371","742","400","535","324","2232","864","2422","972","5496","1558","6035","1416","9846","1583","27817","3407","20299","2430","81191","4928","71087","4930","95206","5545","107019","6476","87012","4947","1214437","17986","266316","8640","298703","9582","654579","14906","348886","9969","845100","15296","351914","9898","82800","5054","68410","5153","0400000US47","Tennessee"
"18772550","10843","373023","14437","5212","2756","5117","1473","20049","3211","44840","5820","97402","7494","58186","5777","93703","8043","397939","13563","107819","6332","233193","11919","432923","12527","326357","12723","357142","11904","329483","10974","3924228","44864","810194","17729","1149880","22636","2826727","32593","1402600","25106","3750797","35494","1484968","25378","318581","10463","222187","9261","0400000US48","Texas"
"1911592","2475","17095","2171","251","259","843","630","157","159","1092","460","1339","653","1024","560","2155","1199","12595","2653","3048","1206","7168","1795","13861","2204","14963","2327","23943","2251","33526","3192","384357","11355","57849","4202","143885","6100","343003","10142","184777","6297","448109","11721","156469","5531","32681","2878","27402","2374","0400000US49","Utah"
"445558","1567","2803","771","97","125","34","66","40","70","0","161","40","66","74","67","84","94","620","356","408","324","5368","1039","5071","1203","6224","1274","5092","1075","4903","1048","115058","4916","14196","1318","22935","1853","51533","3244","38706","2542","101015","3722","52196","3020","11739","1630","7322","1253","0400000US50","Vermont"
"5872757","7277","70422","5715","589","329","985","457","2623","1021","7661","2618","10230","2485","8178","1692","14187","2346","30100","3618","30745","3366","46504","3962","66136","5555","98141","5652","110488","6296","87723","6030","1156419","16574","231191","7940","354535","11030","752723","13684","468107","14037","1312800","16892","743676","13499","153224","6024","115370","5631","0400000US51","Virginia"
"5290324","4383","61331","4230","805","367","1115","541","3461","1113","7763","2481","10802","2399","7643","1985","8551","1966","42919","4345","10946","2018","32222","4007","49839","4974","53137","4375","70551","5501","78989","5090","955541","15936","211806","7232","395512","10481","804235","15674","527524","11609","1204728","16387","538939","13043","122253","6574","89712","5563","0400000US53","Washington"
"1281086","3403","11577","1740","69","110","108","149","389","423","289","297","1455","594","1627","651","1092","459","4103","1036","7378","1320","25519","3010","26972","3294","35101","3825","32560","3739","16566","2347","431856","8517","83575","5113","76158","4204","153719","6288","101267","5844","161686","5922","80380","5029","15831","2273","11809","1556","0400000US54","West Virginia"
"4015285","4143","33386","2853","574","337","701","524","693","370","1161","497","2662","841","2771","884","2769","901","12465","1791","5867","1418","35753","3081","27218","2748","44541","3869","61892","4568","58409","3386","1081686","14337","141706","6198","262972","6888","541299","10349","438381","9220","829878","14357","307952","7586","71262","4236","49287","3206","0400000US55","Wisconsin"
"389847","2859","2287","747","66","104","0","207","150","168","0","207","108","120","88","132","106","170","438","339","633","505","2670","895","1650","647","3935","964","4315","1130","4804","1156","95667","4769","21834","3535","31190","2898","62315","4440","44034","3480","73183","4387","29454","2832","6035","965","4885","1303","0400000US56","Wyoming"
"2301735","2950","56396","4796","642","448","728","469","7867","1369","15245","2405","28914","3280","33725","3394","24645","2656","60469","3976","39367","3884","52085","4551","77519","4821","32250","3191","39738","3436","18818","2315","595413","11591","52733","4121","35498","3913","244198","9880","258905","10642","443589","12354","124314","6744","27969","2996","30708","3557","0400000US72","Puerto Rico"
