"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"3360058","5792","39664","3913","213","291","528","370","1126","503","1396","632","4937","1506","3388","1140","3610","1066","18634","2472","20127","2325","36697","2955","58642","4961","89303","5998","87937","5751","66871","5229","862665","15177","176576","7039","213757","8705","486716","13076","301914","9416","547975","14065","246772","8364","52179","4044","38431","3318","0400000US01","Alabama"
"484058","2581","2291","763","203","195","101","85","534","430","381","483","587","205","134","72","1101","558","1422","655","938","499","2732","938","4211","991","5534","1133","6690","1502","4231","889","115044","5687","24112","2345","38804","3211","85457","4403","43394","3004","89583","4612","38960","3004","10924","1800","6690","1335","0400000US02","Alaska"
"4944540","3175","76249","5908","1037","557","2187","1162","2472","906","7923","1920","12830","2695","6293","1857","14204","2696","55985","5864","15815","3017","57464","4496","84824","7482","68481","4832","94600","6500","112634","6338","967328","19382","203357","8112","384038","11193","852807","18212","431854","12312","931038","13830","404500","10811","89342","4582","67278","3753","0400000US04","Arizona"
"2036456","4918","26937","3032","291","203","265","230","432","368","1212","906","4581","1167","3441","1166","4352","1145","13602","2072","12167","2077","27096","3211","32538","3409","40974","3486","51401","4791","35704","3517","580998","11069","129308","5117","137073","6216","306979","9887","151738","6906","307185","9490","121947","6129","27975","2318","18260","2531","0400000US05","Arkansas"
"26937872","5782","727316","17298","7954","1422","10659","1971","33283","3786","71855","4808","169356","9944","102830","5827","122245","7060","732812","18193","107946","6021","259979","11243","495613","15201","322846","11599","431436","12952","705383","13490","4926010","45237","620701","14678","1523559","24080","4018813","39674","2118792","25012","5889724","34186","2400918","23668","672307","13762","465535","9758","0400000US06","California"
"3974943","4753","43139","4344","217","195","691","406","1335","944","1864","872","5536","1673","2977","940","8579","2040","31217","4008","8713","2016","23434","3170","39262","4354","36064","3658","47302","4591","51890","3900","678101","14568","158489","7964","246503","8226","559067","12483","334961","9716","1057825","13377","471937","11021","92258","5025","73582","4017","0400000US08","Colorado"
"2496420","2195","28222","3060","316","256","166","196","1082","532","2251","1158","5633","1620","4761","1341","5978","1758","19490","3548","6866","1500","24367","2664","27376","3573","34652","3586","35533","3829","35146","3075","587402","14327","80959","5462","132388","6126","278584","9636","190700","7595","549166","11543","323247","8718","79580","4436","42555","3335","0400000US09","Connecticut"
"687311","1176","5920","1492","49","72","113","161","260","260","915","579","498","418","750","507","1132","681","7024","1928","1897","922","5367","1317","7824","1615","12272","1966","11393","1968","11108","1777","183375","7004","24267","2721","42800","3242","85263","5285","56885","3431","134287","6889","69023","4627","13269","1947","11620","1472","0400000US10","Delaware"
"505145","346","6790","2011","86","143","92","155","57","96","469","527","1485","1127","279","324","1621","1048","1977","918","618","316","2985","923","4193","1478","4476","1336","9493","2103","6547","1686","67492","5404","12389","2122","16367","2655","49378","4087","16922","2616","129825","5239","107612","4298","44240","3822","19752","2147","0400000US11","District of Columbia"
