"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"3947204","3082","1885840","4406","643803","10330","1242037","10071","20124","2460","1221913","10274","2061364","3408","587456","8211","1473908","8442","19416","2659","1454492","8687","0400000US01","Alabama"
"582619","876","308121","1381","124335","3516","183786","3533","2765","830","181021","3684","274498","1421","83760","3301","190738","3109","3222","926","187516","2980","0400000US02","Alaska"
"5481996","1114","2701575","1639","1009232","10634","1692343","10308","22414","2193","1669929","10415","2780421","1591","827914","9869","1952507","10093","25894","2650","1926613","10613","0400000US04","Arizona"
"2390981","2948","1162989","3454","357585","7805","805404","6963","12435","1699","792969","7028","1227992","3138","298334","7463","929658","7094","16169","2072","913489","6864","0400000US05","Arkansas"
"31576740","3429","15576921","4371","6331136","24097","9245785","24120","94509","5195","9151276","24605","15999819","3197","5377533","24124","10622286","23766","111013","6662","10511273","23972","0400000US06","California"
"4406120","2262","2206401","3004","782598","9500","1423803","9416","17937","2142","1405866","9340","2199719","2947","613936","9706","1585783","9790","19391","1814","1566392","10074","0400000US08","Colorado"
"2971949","1156","1435144","1881","548808","8848","886336","8688","10097","1736","876239","8700","1536805","1527","501358","6879","1035447","6815","11710","1811","1023737","6917","0400000US09","Connecticut"
"776531","657","372263","926","136341","3890","235922","3979","2282","623","233640","4015","404268","817","126397","4145","277871","3979","2471","780","275400","3954","0400000US10","Delaware"
"569946","266","267946","563","153707","4020","114239","3925","1829","687","112410","4059","302000","547","161935","3751","140065","3696","2721","933","137344","3520","0400000US11","District of Columbia"
"16889179","3724","8167643","5360","2894926","16757","5272717","16903","66393","5031","5206324","16213","8721536","5405","2482272","19751","6239264","19474","75834","4742","6163430","19606","0400000US12","Florida"
"8139039","3991","3916665","5151","1438779","14385","2477886","15046","38228","3840","2439658","14881","4222374","4770","1340771","12811","2881603","11178","34259","2825","2847344","11080","0400000US13","Georgia"
"1168301","806","590393","1244","222377","5925","368016","5602","4029","874","363987","5635","577908","1046","169582","4995","408326","5045","3243","928","405083","5127","0400000US15","Hawaii"
"1294692","1881","642880","2474","201407","6131","441473","5940","7863","1343","433610","5543","651812","2260","166155","5728","485657","5701","6788","1300","478869","5861","0400000US16","Idaho"
"10412828","3095","5063925","3949","1939852","12603","3124073","12325","34427","3014","3089646","12699","5348903","3917","1755416","13982","3593487","13724","37920","3317","3555567","14210","0400000US17","Illinois"
"5314761","3633","2586612","4478","891213","9872","1695399","10119","25762","2450","1669637","10884","2728149","4134","779009","10385","1949140","10863","29009","2696","1920131","11210","0400000US18","Indiana"
"2518654","2648","1240310","2916","405842","7168","834468","6756","9154","1652","825314","7082","1278344","2625","338424","6072","939920","6381","9860","1739","930060","6915","0400000US19","Iowa"
"2312560","2500","1144771","2745","384727","6055","760044","6344","13400","1682","746644","6802","1167789","2574","310008","6268","857781","5918","10475","1361","847306","5833","0400000US20","Kansas"
"3588805","2946","1746997","3589","552524","7036","1194473","6841","18889","2524","1175584","7274","1841808","3336","472107","7281","1369701","7022","20217","2286","1349484","6984","0400000US21","Kentucky"
"3740919","3718","1806873","3691","699983","9397","1106890","9678","15901","1756","1090989","9705","1934046","3782","632820","11137","1301226","10490","14903","2028","1286323","10377","0400000US22","Louisiana"
"1121207","1499","543626","1936","174163","3997","369463","4411","6209","1512","363254","4408","577581","1949","147730","3869","429851","3823","4424","1046","425427","3744","0400000US23","Maine"
"4890571","1819","2340835","2712","879578","10748","1461257","10424","17665","2533","1443592","10584","2549736","2859","841984","9245","1707752","9273","18829","2374","1688923","9601","0400000US24","Maryland"
"5658173","1339","2716576","2163","1097062","11691","1619514","11421","17280","1703","1602234","11117","2941597","1835","1015905","12777","1925692","12672","23014","2239","1902678","13095","0400000US25","Massachusetts"
"8116804","2864","3954251","3003","1448864","11209","2505387","10943","31415","2591","2473972","11432","4162553","2725","1276410","10675","2886143","10645","31939","2405","2854204","10808","0400000US26","Michigan"
"4420760","2259","2181651","2635","761083","7911","1420568","8078","13955","1644","1406613","7982","2239109","2871","641507","6921","1597602","7482","17493","1910","1580109","7509","0400000US27","Minnesota"
"2388147","2890","1143411","3052","426597","8283","716814","8049","10318","1913","706496","8447","1244736","3325","398740","6619","845996","6946","12333","1791","833663","6816","0400000US28","Mississippi"
"4931458","3176","2395744","3818","801558","9496","1594186","9288","20854","2214","1573332","9732","2535714","3830","704766","8740","1830948","8691","23773","2389","1807175","9056","0400000US29","Missouri"
"844438","1510","423623","2445","141041","4037","282582","3752","3004","832","279578","3924","420815","2049","105097","3572","315718","3599","3963","949","311755","3738","0400000US30","Montana"
"1501794","1721","741271","2211","255029","4858","486242","5110","6034","931","480208","5048","760523","1725","204520","4478","556003","4513","7276","1175","548727","4581","0400000US31","Nebraska"
"2332895","1049","1163719","1231","431514","7554","732205","7713","14625","1958","717580","8055","1169176","1357","344752","6358","824424","6300","14352","2136","810072","6433","0400000US32","Nevada"
"1117604","1127","548584","1486","183282","4464","365302","4278","3945","976","361357","4300","569020","1459","150452","3960","418568","4089","4385","1140","414183","4220","0400000US33","New Hampshire"
"7313818","1478","3535810","1697","1336661","12497","2199149","12203","21362","2684","2177787","12102","3778008","1490","1196365","11467","2581643","11592","24139","2394","2557504","11607","0400000US34","New Jersey"
"1668989","2785","821541","2995","307395","7818","514146","7234","6532","1295","507614","7132","847448","2012","262208","5502","585240","5581","7887","1611","577353","5566","0400000US35","New Mexico"
"16312417","2940","7832354","3462","3263252","21102","4569102","20966","43830","3443","4525272","21168","8480063","3158","3078939","18731","5401124","18267","56573","4048","5344551","18553","0400000US36","New York"
"8146843","4891","3924333","5681","1362564","13511","2561769","13182","33701","3129","2528068","13617","4222510","5240","1223827","13188","2998683","12986","33197","2710","2965486","13099","0400000US37","North Carolina"
"611660","1723","314948","2488","116255","3607","198693","3556","2487","781","196206","3642","296712","1814","82190","3644","214522","3386","2116","683","212406","3331","0400000US38","North Dakota"
"9451449","3690","4577925","3872","1612418","14021","2965507","14376","42509","3778","2922998","15193","4873524","3289","1424650","14434","3448874","14036","40742","3250","3408132","13542","0400000US39","Ohio"
"3108452","1929","1526608","2458","491094","5850","1035514","5854","17849","1576","1017665","5855","1581844","2045","394496","6512","1187348","6036","18328","1667","1169020","5900","0400000US40","Oklahoma"
"3316989","2594","1629953","3449","566121","8553","1063832","8695","13276","1900","1050556","8882","1687036","2902","462660","8203","1224376","7619","15787","2027","1208589","8023","0400000US41","Oregon"
