"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Never married","Margin of Error!!Total:!!Male:!!Never married","Estimate!!Total:!!Male:!!Ever married:","Margin of Error!!Total:!!Male:!!Ever married:","Estimate!!Total:!!Male:!!Ever married:!!Divorced last year","Margin of Error!!Total:!!Male:!!Ever married:!!Divorced last year","Estimate!!Total:!!Male:!!Ever married:!!Not divorced last year","Margin of Error!!Total:!!Male:!!Ever married:!!Not divorced last year","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Never married","Margin of Error!!Total:!!Female:!!Never married","Estimate!!Total:!!Female:!!Ever married:","Margin of Error!!Total:!!Female:!!Ever married:","Estimate!!Total:!!Female:!!Ever married:!!Divorced last year","Margin of Error!!Total:!!Female:!!Ever married:!!Divorced last year","Estimate!!Total:!!Female:!!Ever married:!!Not divorced last year","Margin of Error!!Total:!!Female:!!Ever married:!!Not divorced last year","id","Geographic Area Name"
"4004468","3955","1909410","4332","649109","11655","1260301","10531","16299","2102","1244002","10682","2095058","3516","595067","9440","1499991","9929","19059","2941","1480932","10405","0400000US01","Alabama"
"578225","856","301975","1721","113828","3902","188147","3994","1663","675","186484","4009","276250","1834","78558","3498","197692","3257","1899","645","195793","3321","0400000US02","Alaska"
"5919085","1614","2926106","2405","1095055","12868","1831051","13101","22454","2866","1808597","13006","2992979","2300","910850","11786","2082129","11731","24599","3154","2057530","11784","0400000US04","Arizona"
"2439812","2922","1181259","3972","376752","7105","804507","7251","11433","1965","793074","7523","1258553","4029","323536","7796","935017","7030","13514","2203","921503","7351","0400000US05","Arkansas"
"32124112","4693","15865087","6043","6478460","27866","9386627","27983","90565","6073","9296062","28636","16259025","4904","5521285","24532","10737740","23722","104935","5861","10632805","24638","0400000US06","California"
"4720810","2634","2372402","4047","846196","11435","1526206","11830","14744","2075","1511462","11541","2348408","3306","667808","9225","1680600","9389","18639","2200","1661961","9650","0400000US08","Colorado"
"2975029","1595","1441236","2275","563030","8374","878206","8434","9865","2033","868341","8593","1533793","1881","499077","8504","1034716","8433","10871","1910","1023845","8516","0400000US09","Connecticut"
"805442","756","385178","918","138025","3636","247153","3657","4119","1262","243034","3708","420264","1036","130554","4180","289710","4305","3952","1431","285758","4274","0400000US10","Delaware"
"593107","242","277264","513","158268","4145","118996","4077","1027","485","117969","4097","315843","490","178841","4271","137002","4264","1501","724","135501","4275","0400000US11","District of Columbia"
"17964694","4571","8699523","6038","3089210","25898","5610313","25362","74471","6057","5535842","26267","9265171","5512","2667692","23242","6597479","22494","74952","5389","6522527","22936","0400000US12","Florida"
"8540772","6244","4102634","6966","1543482","20346","2559152","19323","33422","3869","2525730","19226","4438138","6506","1423878","18545","3014260","18257","39301","3682","2974959","18300","0400000US13","Georgia"
"1163465","1081","578494","1558","223843","5466","354651","5234","3184","922","351467","5233","584971","1161","176639","5269","408332","5242","3889","1151","404443","5410","0400000US15","Hawaii"
"1416602","2302","708387","2919","215839","7170","492548","6862","8176","1522","484372","6732","708215","2992","168605","5692","539610","5643","5634","1473","533976","5718","0400000US16","Idaho"
"10353312","3736","5033953","3664","1944814","17548","3089139","17276","29693","3100","3059446","17970","5319359","3871","1755387","12706","3563972","12858","32978","2922","3530994","12912","0400000US17","Illinois"
"5434807","3949","2654430","4455","949680","11631","1704750","12405","24798","2939","1679952","12914","2780377","4539","822231","10247","1958146","10072","25116","3112","1933030","10450","0400000US18","Indiana"
"2554896","2803","1262984","4104","428636","6849","834348","6822","8065","1643","826283","6905","1291912","3977","351459","6047","940453","6494","8148","1283","932305","6632","0400000US19","Iowa"
"2329808","3119","1149861","3950","377983","6840","771878","6659","7932","1387","763946","6356","1179947","3456","308711","6310","871236","5746","10829","1980","860407","6129","0400000US20","Kansas"
"3637530","3139","1770359","4379","582229","9917","1188130","9624","15427","1822","1172703","9351","1867171","4062","484772","8434","1382399","8855","18831","2033","1363568","8438","0400000US21","Kentucky"
"3740573","3665","1802230","4752","705808","11382","1096422","11264","13172","2291","1083250","11423","1938343","4494","644542","10877","1293801","10842","14108","2149","1279693","10738","0400000US22","Louisiana"
"1143655","1391","554012","2124","177602","5088","376410","4941","4008","904","372402","4928","589643","1829","156153","5152","433490","5047","2806","730","430684","5066","0400000US23","Maine"
"4937192","2310","2362338","2992","906518","11495","1455820","10944","19247","2810","1436573","11525","2574854","3050","866051","10502","1708803","10489","18166","2609","1690637","11135","0400000US24","Maryland"
"5786309","1737","2780028","2847","1107634","11653","1672394","11516","15334","2315","1657060","11958","3006281","2665","1055370","12268","1950911","11729","19207","2502","1931704","11861","0400000US25","Massachusetts"
"8222619","3194","4014963","3485","1492000","11565","2522963","11931","30397","2563","2492566","11489","4207656","3744","1287433","12600","2920223","12961","31205","3310","2889018","13219","0400000US26","Michigan"
"4555944","2434","2252132","3235","804710","8416","1447422","8831","14079","1752","1433343","8959","2303812","3180","676423","7978","1627389","8086","15352","1881","1612037","8122","0400000US27","Minnesota"
"2395111","3685","1142814","3964","429199","9394","713615","9197","7633","1724","705982","9286","1252297","4272","397909","9172","854388","8126","10880","2283","843508","8364","0400000US28","Mississippi"
"4999389","3936","2424912","4709","820930","10326","1603982","10345","22084","2340","1581898","10865","2574477","4916","712201","9226","1862276","9315","23366","2616","1838910","9896","0400000US29","Missouri"
"880322","1702","440051","2138","150370","4693","289681","4381","2852","961","286829","4536","440271","2015","111815","3989","328456","4303","3820","1017","324636","4456","0400000US30","Montana"
"1536162","1599","761033","2110","257465","5008","503568","5488","5071","1072","498497","5673","775129","2047","210232","4676","564897","4670","5312","1123","559585","4761","0400000US31","Nebraska"
"2503983","2258","1249424","1935","464646","8079","784778","8126","10769","1751","774009","8291","1254559","1828","369395","7955","885164","7890","12740","2169","872424","7888","0400000US32","Nevada"
"1151800","1430","567125","2014","189244","4681","377881","4893","2367","862","375514","4689","584675","1920","158004","5257","426671","5341","4802","1395","421869","5367","0400000US33","New Hampshire"
"7282469","1427","3525209","2628","1304475","12053","2220734","12033","17022","2589","2203712","12274","3757260","2761","1187997","12287","2569263","12079","23570","2743","2545693","12619","0400000US34","New Jersey"
"1702893","2306","836630","2581","331274","5846","505356","5589","6369","1380","498987","5893","866263","2836","280526","5648","585737","5785","8805","2444","576932","6088","0400000US35","New Mexico"
"16117350","2979","7740453","3925","3167660","22855","4572793","23791","41635","3169","4531158","24740","8376897","3754","2993751","21498","5383146","21571","51468","3344","5331678","22097","0400000US36","New York"
"8589271","5450","4123129","6413","1483601","18827","2639528","17446","31180","2899","2608348","17755","4466142","6432","1329258","17713","3136884","17215","35797","3228","3101087","16954","0400000US37","North Carolina"
"612127","2639","310800","2361","109872","4049","200928","4185","2247","783","198681","4124","301327","2530","82319","4254","219008","3689","2599","869","216409","3799","0400000US38","North Dakota"
"9559851","3804","4639358","5434","1676268","12131","2963090","12953","33766","3234","2929324","13665","4920493","4919","1453716","13560","3466777","14614","40717","3522","3426060","14774","0400000US39","Ohio"
"3162944","2342","1551528","3102","517217","7827","1034311","7378","14257","2017","1020054","7036","1611416","2930","423564","6597","1187852","6395","16798","2079","1171054","6463","0400000US40","Oklahoma"
"3504094","2613","1722666","3590","618953","10909","1103713","10608","16561","2310","1087152","10279","1781428","3844","514628","10275","1266800","9531","14790","2098","1252010","9597","0400000US41","Oregon"
"10628076","2668","5159722","3925","1925761","16322","3233961","15203","33717","2731","3200244","14868","5468354","3453","1702368","16048","3765986","16472","33320","2784","3732666","16422","0400000US42","Pennsylvania"
"892832","1475","432431","1775","180673","4709","251758","4674","3777","1055","247981","4623","460401","1643","164406","4480","295995","4587","3051","1155","292944","4895","0400000US44","Rhode Island"
"4224180","3786","2015500","4500","721405","11990","1294095","11893","11661","2233","1282434","11988","2208680","4721","681456","11773","1527224","11886","14619","2250","1512605","11951","0400000US45","South Carolina"
"703693","1996","353022","2298","118094","4518","234928","4590","2534","966","232394","4604","350671","2316","90781","3862","259890","3810","2099","613","257791","3732","0400000US46","South Dakota"
"5572864","4758","2688514","5955","903515","12625","1784999","12275","25675","3010","1759324","12814","2884350","5058","800500","11426","2083850","12086","24457","2582","2059393","12421","0400000US47","Tennessee"
"22833954","7734","11246327","8368","4160255","26496","7086072","27519","88772","6001","6997300","27828","11587627","7500","3555431","25175","8032196","25390","99315","6796","7932881","25462","0400000US48","Texas"
"2434424","2118","1214886","2539","407196","7365","807690","7816","8196","1729","799494","7899","1219538","2391","346947","7314","872591","6855","11459","1907","861132","7093","0400000US49","Utah"
"531842","1034","261751","1398","92593","3452","169158","3261","1732","481","167426","3287","270091","1347","79406","3132","190685","3300","1831","679","188854","3299","0400000US50","Vermont"
"6988054","5383","3405420","6660","1231082","14365","2174338","12756","26397","2429","2147941","13057","3582634","5350","1074497","13402","2508137","14044","28432","2848","2479705","14278","0400000US51","Virginia"
"6225423","3577","3095428","4252","1088670","12539","2006758","12381","22130","2525","1984628","13186","3129995","3479","878812","13787","2251183","12820","24437","2676","2226746","12652","0400000US53","Washington"
"1497185","1973","734220","2722","234322","6677","499898","6437","6493","1507","493405","6350","762965","2576","181578","5319","581387","5093","6410","1348","574977","5034","0400000US54","West Virginia"
"4781987","2414","2363075","3842","857600","9881","1505475","8286","13908","1978","1491567","8471","2418912","3244","708030","8324","1710882","8459","15505","1675","1695377","8690","0400000US55","Wisconsin"
"466224","2044","237532","2329","70103","3832","167429","3542","1609","621","165820","3374","228692","2160","51063","2752","177629","3126","2284","812","175345","3174","0400000US56","Wyoming"
"2734729","986","1283894","2141","581268","9364","702626","8533","5603","1264","697023","8702","1450835","2251","553498","8972","897337","8653","6865","1424","890472","8474","0400000US72","Puerto Rico"
