"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"7377448","1623","3566444","2282","1343357","12413","2223087","12286","22944","3152","2200143","13056","3811004","1827","1205625","15171","2605379","14869","23708","2781","2581671","14917","0400000US34","New Jersey"
"1681966","2490","826549","3295","323388","6666","503161","7084","7709","1619","495452","6938","855417","2485","274047","6903","581370","6344","6774","1429","574596","6361","0400000US35","New Mexico"
"16410547","3217","7879694","3758","3276777","20386","4602917","19912","41808","3489","4561109","20417","8530853","3537","3068890","21324","5461963","20876","50703","3938","5411260","21097","0400000US36","New York"
"8377139","4897","4026594","5095","1397131","14947","2629463","15158","31567","2646","2597896","14955","4350545","4723","1264733","14023","3085812","14111","36660","3083","3049152","14214","0400000US37","North Carolina"
"606716","1469","311799","1771","115490","3985","196309","3959","2371","701","193938","3971","294917","1627","79553","3439","215364","3186","2595","694","212769","3153","0400000US38","North Dakota"
"9515823","3065","4613739","4488","1647158","13843","2966581","13489","32434","3016","2934147","13391","4902084","4230","1454920","11935","3447164","12160","37475","2778","3409689","12549","0400000US39","Ohio"
"3129329","2729","1536080","3286","500161","6563","1035919","6849","16251","1828","1019668","6835","1593249","2604","406013","6497","1187236","6639","16843","1530","1170393","6782","0400000US40","Oklahoma"
"3416916","2848","1681085","3252","588866","9088","1092219","9049","13937","2209","1078282","9022","1735831","2733","481117","8596","1254714","7839","13949","2338","1240765","7928","0400000US41","Oregon"
"10611437","2642","5148815","3463","1908802","13193","3240013","12938","34528","3035","3205485","12679","5462622","3384","1701934","13910","3760688","13546","37563","3457","3723125","13852","0400000US42","Pennsylvania"
"890333","1149","426468","1684","166848","4976","259620","5225","2294","808","257326","5384","463865","1712","162729","4091","301136","3974","3321","1076","297815","4174","0400000US44","Rhode Island"
"4110098","3170","1971172","4325","723315","12287","1247857","11243","16013","2003","1231844","11413","2138926","3817","646109","9409","1492817","9040","18612","2732","1474205","8521","0400000US45","South Carolina"
"690282","1560","347676","2432","118435","3708","229241","3643","3847","1129","225394","3777","342606","2181","92173","3259","250433","3539","2670","701","247763","3548","0400000US46","South Dakota"
"5466987","4027","2637308","4973","874661","11674","1762647","11486","24776","2734","1737871","11263","2829679","4484","785847","11209","2043832","11947","28847","3179","2014985","11700","0400000US47","Tennessee"
"22164607","5753","10923789","7085","3952095","24475","6971694","25244","88612","5632","6883082","25439","11240818","6691","3372702","22447","7868116","22682","92008","5004","7776108","22569","0400000US48","Texas"
"2327933","1818","1164596","2326","388566","7315","776030","6859","11275","1928","764755","6563","1163337","2309","317723","6924","845614","6988","10544","1871","835070","7257","0400000US49","Utah"
"526751","1115","257783","1020","91627","2806","166156","2842","1364","451","164792","2837","268968","1011","77049","2501","191919","2579","1945","528","189974","2543","0400000US50","Vermont"
"6919620","4752","3370061","5433","1179996","13177","2190065","13551","27878","2573","2162187","13592","3549559","4332","1060259","13381","2489300","13494","28481","2906","2460819","13085","0400000US51","Virginia"
"6028802","2666","2996661","3241","1046481","12568","1950180","12046","24541","2704","1925639","12163","3032141","2884","828719","10726","2203422","10425","25563","2691","2177859","10652","0400000US53","Washington"
"1505831","2112","736517","2714","235076","6801","501441","6444","8397","1537","493044","6402","769314","2631","190630","5470","578684","5058","6888","1424","571796","4978","0400000US54","West Virginia"
"4739661","3007","2341660","3420","832075","8365","1509585","8722","16879","1814","1492706","8790","2398001","2880","702077","8451","1695924","8898","16100","1549","1679824","9250","0400000US55","Wisconsin"
"462614","1705","235576","1982","73917","3646","161659","3284","2226","750","159433","3328","227038","1685","52802","3314","174236","3352","1810","812","172426","3225","0400000US56","Wyoming"
"2812219","1573","1314422","2998","583563","11113","730859","11063","9604","2169","721255","11113","1497797","2963","551459","11795","946338","11172","8990","2177","937348","11087","0400000US72","Puerto Rico"
