"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"8232061","4501","3957018","5359","1458472","16645","2498546","16690","32512","3188","2466034","16059","4275043","5948","1344777","14673","2930266","14316","42224","3191","2888042","14604","0400000US13","Georgia"
"1168033","1222","583715","1510","223677","5630","360038","5609","3279","760","356759","5641","584318","1217","170598","4641","413720","4484","4193","1090","409527","4576","0400000US15","Hawaii"
"1320797","1891","655592","2247","201696","6339","453896","6201","8159","1748","445737","6578","665205","2447","162455","6087","502750","6337","7366","1521","495384","6628","0400000US16","Idaho"
"10394067","3072","5056969","4040","1940750","14617","3116219","14034","34858","3296","3081361","14452","5337098","4147","1747773","13976","3589325","13172","36296","2852","3553029","13325","0400000US17","Illinois"
"5331071","3783","2600798","4287","901195","10269","1699603","10292","24845","2822","1674758","10272","2730273","4074","778923","9235","1951350","9801","26983","2705","1924367","10448","0400000US18","Indiana"
"2529447","2234","1245027","3140","415556","7499","829471","6846","9119","1532","820352","6950","1284420","2575","337782","6183","946638","6583","9838","1491","936800","6737","0400000US19","Iowa"
"2310304","2733","1142169","3270","386511","7231","755658","7322","11953","1520","743705","7226","1168135","3002","308531","6833","859604","6401","10636","1530","848968","6756","0400000US20","Kansas"
"3600690","3442","1752576","4457","579303","8578","1173273","8329","16093","2030","1157180","8614","1848114","3452","488955","7772","1359159","7760","18400","2122","1340759","7858","0400000US21","Kentucky"
"3751715","3855","1815491","4285","725764","9677","1089727","9435","16142","2271","1073585","9938","1936224","3795","641451","10549","1294773","10294","19307","2368","1275466","10147","0400000US22","Louisiana"
"1123728","1151","544729","1571","177638","4869","367091","4688","4316","864","362775","4659","578999","1344","149838","4326","429161","4448","5371","1092","423790","4433","0400000US23","Maine"
"4902314","1692","2346134","2637","903101","10228","1443033","10037","18945","2368","1424088","10178","2556180","2429","850257","10994","1705923","10393","20920","2714","1685003","10144","0400000US24","Maryland"
"5683233","1618","2728402","1947","1099367","11323","1629035","11757","16250","2212","1612785","12114","2954831","1978","1029325","9925","1925506","10038","16596","1635","1908910","10325","0400000US25","Massachusetts"
"8138464","2733","3967891","2684","1449488","11964","2518403","12357","33036","2518","2485367","12191","4170573","2763","1269324","11733","2901249","11478","31926","2657","2869323","11571","0400000US26","Michigan"
"4446706","2592","2197537","2654","784388","9765","1413149","9590","14617","1635","1398532","9624","2249169","2859","647681","8637","1601488","9116","15299","1527","1586189","9116","0400000US27","Minnesota"
"2388158","3133","1137123","4364","419901","9763","717222","9169","8572","1684","708650","9146","1251035","4110","396965","9716","854070","8465","10914","1957","843156","8756","0400000US28","Mississippi"
"4943723","3235","2402847","3984","820274","10800","1582573","10714","23083","2316","1559490","10790","2540876","3322","703563","8611","1837313","8157","20852","2360","1816461","8459","0400000US29","Missouri"
"852293","1824","427876","2355","142314","3821","285562","3917","4189","1174","281373","4191","424417","2051","106666","4260","317751","4504","4307","891","313444","4525","0400000US30","Montana"
"1509438","1732","747768","2383","253630","5640","494138","5175","5450","1164","488688","5047","761670","2019","206641","4640","555029","4616","6023","1236","549006","4651","0400000US31","Nebraska"
"2376250","1187","1185734","1715","450143","7670","735591","7818","12187","1885","723404","7930","1190516","1739","355858","7653","834658","7377","11180","1847","823478","7483","0400000US32","Nevada"
"1123706","1509","555109","1899","182984","4806","372125","5053","4531","1057","367594","4945","568597","1622","151594","4062","417003","3799","4140","1054","412863","4041","0400000US33","New Hampshire"
"7313609","1132","3537022","1543","1345377","11872","2191645","12013","23939","2294","2167706","12075","3776587","1579","1207560","12016","2569027","12182","23119","2151","2545908","12251","0400000US34","New Jersey"
"1676659","1736","824879","2357","313853","6518","511026","6349","6310","1170","504716","6480","851780","1984","269035","6489","582745","6225","6906","1328","575839","6295","0400000US35","New Mexico"
"16287464","2913","7816473","4167","3234830","19865","4581643","19415","44658","3519","4536985","19008","8470991","3411","3084457","18420","5386534","18142","52254","4032","5334280","18627","0400000US36","New York"
"8250416","4829","3961788","5209","1377377","15041","2584411","14826","31067","3155","2553344","14848","4288628","5072","1254842","12440","3033786","12682","33865","3200","2999921","12867","0400000US37","North Carolina"
"608512","1576","311519","2292","112971","3918","198548","4305","2666","988","195882","4231","296993","1767","80687","3281","216306","3198","2603","699","213703","3206","0400000US38","North Dakota"
"9469520","3558","4597677","4141","1639270","11988","2958407","11871","35462","3097","2922945","12366","4871843","4039","1438290","11851","3433553","12372","37373","2908","3396180","12351","0400000US39","Ohio"
"3117282","1894","1528795","2463","501814","6461","1026981","6529","15837","1876","1011144","6624","1588487","2521","408475","6966","1180012","6801","16900","1750","1163112","6942","0400000US40","Oklahoma"
"3374727","2063","1657986","3389","567475","8480","1090511","7649","13265","1948","1077246","8209","1716741","2840","478351","7283","1238390","6990","17595","2376","1220795","7198","0400000US41","Oregon"
"10585604","2792","5138564","4117","1916471","15116","3222093","15581","38892","3075","3183201","15815","5447040","3539","1702435","12505","3744605","11124","41269","3213","3703336","11974","0400000US42","Pennsylvania"
"886433","992","424571","1203","170386","5180","254185","4933","2701","945","251484","5001","461862","1172","159423","4690","302439","4594","3231","1005","299208","4507","0400000US44","Rhode Island"
"4046525","3062","1937011","2957","690100","9879","1246911","10568","16672","1958","1230239","10747","2109514","3186","633057","11018","1476457","10369","18085","2125","1458372","10385","0400000US45","South Carolina"
"684721","1567","342764","2074","122174","3529","220590","3822","2295","872","218295","3948","341957","2082","95725","3648","246232","3242","2392","725","243840","3353","0400000US46","South Dakota"
"5405690","3971","2608425","4442","870117","9246","1738308","9475","23805","2436","1714503","9696","2797265","3979","769930","9761","2027335","9643","27960","2638","1999375","9933","0400000US47","Tennessee"
"21772944","5640","10719917","6391","3890744","25137","6829173","25983","87327","5957","6741846","26710","11053027","6198","3325891","22410","7727136","21725","101725","6199","7625411","22117","0400000US48","Texas"
"2276760","1753","1139070","2341","386824","7396","752246","6808","8092","1354","744154","7226","1137690","2112","312644","6782","825046","6827","12575","2069","812471","7199","0400000US49","Utah"
"527074","954","257638","1259","89531","2620","168107","2915","1741","524","166366","2897","269436","1265","76869","2989","192567","2844","1763","535","190804","2773","0400000US50","Vermont"
"6860841","4316","3344431","4988","1190041","13358","2154390","13268","27279","2566","2127111","13577","3516410","4682","1042315","12301","2474095","11939","26038","2804","2448057","11924","0400000US51","Virginia"
"5929275","2890","2943737","2947","1033508","10672","1910229","10771","25128","2943","1885101","10971","2985538","2919","825474","8718","2160064","9088","27494","3113","2132570","9706","0400000US53","Washington"
"1519860","2114","742920","2507","240042","6425","502878","6560","7778","1308","495100","6576","776940","2200","186715","4708","590225","4858","7022","1210","583203","4873","0400000US54","West Virginia"
"4718806","2715","2330764","2604","832052","9989","1498712","9979","17152","2127","1481560","10019","2388042","2802","703306","9196","1684736","8589","16817","2152","1667919","8877","0400000US55","Wisconsin"
"466401","1788","237253","1880","71712","3358","165541","3254","1605","707","163936","3438","229148","1837","56562","2920","172586","2832","3353","1061","169233","3059","0400000US56","Wyoming"
"2854814","1402","1340005","2297","583888","8411","756117","7939","7729","1285","748388","7838","1514809","2282","552630","8165","962179","7459","8182","1392","953997","7577","0400000US72","Puerto Rico"
