"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"3962122","4601","1894579","4658","645555","10619","1249024","9197","16436","2275","1232588","9601","2067543","3872","583215","9944","1484328","9452","19366","2342","1464962","9461","0400000US01","Alabama"
"584670","1134","307284","1996","124922","3884","182362","3541","2841","904","179521","3572","277386","2129","85832","3203","191554","3280","2398","740","189156","3494","0400000US02","Alaska"
"5579306","1354","2754161","2157","1021830","11393","1732331","11247","19857","2652","1712474","11286","2825145","1907","838293","11831","1986852","11841","28034","3273","1958818","11779","0400000US04","Arizona"
"2400908","3547","1164988","3478","365387","7904","799601","7451","13141","1600","786460","7899","1235920","3360","308549","6410","927371","7063","16103","2442","911268","7433","0400000US05","Arkansas"
"31696515","3180","15633439","4204","6342454","27160","9290985","27181","102730","5048","9188255","28678","16063076","4182","5400492","25713","10662584","25941","116989","5783","10545595","26350","0400000US06","California"
"4490574","1715","2251218","2666","802589","9999","1448629","10103","19731","2221","1428898","9910","2239356","2627","633684","9742","1605672","10076","18067","2442","1587605","10348","0400000US08","Colorado"
"2966525","975","1433885","1517","554927","6342","878958","6365","8699","1393","870259","6337","1532640","1545","489942","7726","1042698","7644","14426","2206","1028272","7637","0400000US09","Connecticut"
"782833","911","374374","882","140011","4374","234363","4296","2652","787","231711","4327","408459","945","129018","4673","279441","4424","3581","1081","275860","4478","0400000US10","Delaware"
"576040","355","270633","444","155103","3827","115530","3907","1811","804","113719","3799","305407","458","170936","4632","134471","4568","1762","627","132709","4570","0400000US11","District of Columbia"
"17195240","5550","8325278","5933","2929277","19817","5396001","19789","70478","5718","5325523","20380","8869962","5030","2541569","21512","6328393","20678","74969","4876","6253424","20980","0400000US12","Florida"
