"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"3987483","3932","1903181","3552","648247","9029","1254934","9018","19260","2412","1235674","9051","2084302","4041","584844","12054","1499458","11539","20527","2524","1478931","11903","0400000US01","Alabama"
"582974","828","304543","1457","113521","3346","191022","3425","2356","675","188666","3360","278431","1348","82104","2593","196327","2640","2105","637","194222","2783","0400000US02","Alaska"
"5807263","1878","2867563","2166","1053254","12142","1814309","12081","21857","2552","1792452","12760","2939700","1955","883062","11062","2056638","11049","23552","2965","2033086","11049","0400000US04","Arizona"
"2429708","3636","1178871","3696","381241","7749","797630","8312","12477","1845","785153","8450","1250837","3727","331757","8065","919080","8015","16308","2071","902772","8223","0400000US05","Arkansas"
"32083562","4039","15847000","4820","6474560","25396","9372440","26231","98322","5258","9274118","26362","16236562","3829","5499600","26179","10736962","26554","108127","5768","10628835","27475","0400000US06","California"
"4643242","3035","2324144","3672","837792","11679","1486352","11321","21389","3005","1464963","11288","2319098","3328","670316","8895","1648782","8531","20064","2887","1628718","8888","0400000US08","Colorado"
"2975536","1533","1437239","1845","547263","9330","889976","9073","8607","1764","881369","9275","1538297","2144","492448","6549","1045849","6585","10423","1910","1035426","6769","0400000US09","Connecticut"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0400000US10","Delaware"
"590722","218","276889","475","164836","3574","112053","3606","1322","610","110731","3641","313833","517","178614","4235","135219","4176","1808","666","133411","4317","0400000US11","District of Columbia"
"17791739","5407","8614680","5998","3081257","22048","5533423","21127","64018","4808","5469405","21327","9177059","5383","2635398","19856","6541661","20008","73225","6196","6468436","20798","0400000US12","Florida"
"8451927","6355","4056979","5771","1531796","16777","2525183","17406","34604","3430","2490579","17744","4394948","5539","1422972","17356","2971976","17012","35445","3658","2936531","16759","0400000US13","Georgia"
