Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,State,State Code,County,County Code,Race,Race Code,Year,Year Code,Deaths,Population,Crude Rate
,35-44 years,35-44,New York,36,"Niagara County, NY",36063,White,2106-3,2017,2017,10,20689,Unreliable
,35-44 years,35-44,New York,36,"Niagara County, NY",36063,White,2106-3,2019,2019,10,20894,Unreliable
,35-44 years,35-44,New York,36,"Oneida County, NY",36065,White,2106-3,2014,2014,12,22645,Unreliable
,35-44 years,35-44,New York,36,"Oneida County, NY",36065,White,2106-3,2016,2016,11,21757,Unreliable
,35-44 years,35-44,New York,36,"Oneida County, NY",36065,White,2106-3,2017,2017,12,21635,Unreliable
,35-44 years,35-44,New York,36,"Oneida County, NY",36065,White,2106-3,2018,2018,10,21729,Unreliable
,35-44 years,35-44,New York,36,"Oneida County, NY",36065,White,2106-3,2019,2019,11,21906,Unreliable
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2008,2008,13,51726,Unreliable
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2010,2010,13,47973,Unreliable
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2013,2013,12,44113,Unreliable
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2015,2015,12,42360,Unreliable
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2016,2016,20,41674,48
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2017,2017,22,41497,53
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2018,2018,22,42069,52.3
,35-44 years,35-44,New York,36,"Onondaga County, NY",36067,White,2106-3,2019,2019,23,42756,53.8
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2010,2010,10,42748,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2011,2011,12,41181,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2012,2012,10,39925,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2013,2013,10,38478,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2014,2014,12,37481,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2015,2015,15,36751,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2016,2016,20,35941,55.6
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2017,2017,18,35473,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2018,2018,17,35361,Unreliable
,35-44 years,35-44,New York,36,"Orange County, NY",36071,White,2106-3,2019,2019,18,35594,Unreliable
,35-44 years,35-44,New York,36,"Oswego County, NY",36075,White,2106-3,2019,2019,12,12523,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,1999,1999,15,82145,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2000,2000,12,82711,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2002,2002,16,81480,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2003,2003,14,80401,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2006,2006,13,74882,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2017,2017,11,63643,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,1999,1999,40,193745,20.6
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2000,2000,39,193226,20.2
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2001,2001,37,191600,19.3
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2002,2002,36,188418,19.1
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2003,2003,40,185077,21.6
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2004,2004,33,180976,18.2
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2005,2005,36,176679,20.4
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2006,2006,36,173034,20.8
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2007,2007,28,169145,16.6
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2008,2008,29,166886,17.4
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2009,2009,21,164364,12.8
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2010,2010,29,162685,17.8
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2011,2011,19,162641,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2012,2012,13,163516,Unreliable
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2013,2013,26,164848,15.8
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2014,2014,23,164982,13.9
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2015,2015,27,164100,16.5
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2016,2016,38,160018,23.7
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2017,2017,38,159451,23.8
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2018,2018,36,153702,23.4
,35-44 years,35-44,New York,36,"Queens County, NY",36081,White,2106-3,2019,2019,53,150263,35.3
,35-44 years,35-44,New York,36,"Rensselaer County, NY",36083,White,2106-3,2017,2017,10,16043,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2000,2000,12,60533,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2001,2001,14,60719,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2002,2002,21,60525,34.7
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2003,2003,12,59670,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2004,2004,15,58550,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2005,2005,19,57368,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2006,2006,18,56249,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2007,2007,11,55140,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2008,2008,13,54053,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2009,2009,14,52587,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2010,2010,12,51604,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2011,2011,16,50425,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2012,2012,17,49634,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2013,2013,17,49047,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2014,2014,19,48177,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2015,2015,18,47361,Unreliable
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2016,2016,20,46196,43.3
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2017,2017,23,45560,50.5
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2018,2018,26,44535,58.4
,35-44 years,35-44,New York,36,"Richmond County, NY",36085,White,2106-3,2019,2019,27,43733,61.7
,35-44 years,35-44,New York,36,"Rockland County, NY",36087,White,2106-3,2016,2016,10,27055,Unreliable
,35-44 years,35-44,New York,36,"Rockland County, NY",36087,White,2106-3,2019,2019,14,27272,Unreliable
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,1999,1999,12,224628,Unreliable
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2000,2000,15,226360,Unreliable
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2001,2001,22,229002,9.6
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2006,2006,30,214317,14
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2007,2007,41,206610,19.8
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2008,2008,45,198760,22.6
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2009,2009,34,190622,17.8
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2010,2010,44,184738,23.8
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2011,2011,56,177623,31.5
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2012,2012,52,171498,30.3
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2013,2013,39,164943,23.6
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2014,2014,54,159724,33.8
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2015,2015,50,155050,32.2
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2016,2016,84,149997,56
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2017,2017,100,146955,68
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2018,2018,75,144247,52
,35-44 years,35-44,New York,36,"Suffolk County, NY",36103,White,2106-3,2019,2019,70,142368,49.2
,35-44 years,35-44,New York,36,"Ulster County, NY",36111,White,2106-3,2011,2011,12,20549,Unreliable
,35-44 years,35-44,New York,36,"Ulster County, NY",36111,White,2106-3,2016,2016,14,17809,Unreliable
,35-44 years,35-44,New York,36,"Ulster County, NY",36111,White,2106-3,2017,2017,19,17678,Unreliable
,35-44 years,35-44,New York,36,"Ulster County, NY",36111,White,2106-3,2018,2018,16,17731,Unreliable
,35-44 years,35-44,New York,36,"Ulster County, NY",36111,White,2106-3,2019,2019,11,17882,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2001,2001,17,123148,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2006,2006,20,110990,18
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2007,2007,20,107767,18.6
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2009,2009,13,101731,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2011,2011,17,97287,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2012,2012,10,95664,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2013,2013,12,94113,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2014,2014,13,92755,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2015,2015,17,91277,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2016,2016,17,89422,Unreliable
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2017,2017,24,89130,26.9
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2018,2018,26,87953,29.6
,35-44 years,35-44,New York,36,"Westchester County, NY",36119,White,2106-3,2019,2019,28,87877,31.9
,45-54 years,45-54,New York,36,"Albany County, NY",36001,White,2106-3,2017,2017,11,30857,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,1999,1999,17,63331,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2000,2000,20,65034,30.8
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2001,2001,11,68320,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2002,2002,15,70874,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2003,2003,19,73571,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2004,2004,18,75895,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2005,2005,28,78031,35.9
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2006,2006,34,80193,42.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2007,2007,25,82346,30.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2008,2008,22,84724,26
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2009,2009,13,87321,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2010,2010,14,88744,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2011,2011,18,89156,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2012,2012,28,89550,31.3
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2013,2013,11,90321,Unreliable
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2014,2014,20,90596,22.1
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2015,2015,21,90885,23.1
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2016,2016,38,89233,42.6
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2017,2017,39,88068,44.3
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2018,2018,46,83707,55
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2019,2019,44,80451,54.7
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,1999,1999,28,74129,37.8
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2000,2000,30,75614,39.7
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2001,2001,28,77458,36.1
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2002,2002,32,77881,41.1
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2003,2003,35,78046,44.8
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2004,2004,34,78328,43.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2005,2005,24,78797,30.5
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2006,2006,31,78741,39.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2007,2007,35,79771,43.9
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2008,2008,38,80346,47.3
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2009,2009,27,81185,33.3
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2010,2010,29,81683,35.5
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2011,2011,26,82079,31.7
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2012,2012,36,82768,43.5
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2013,2013,43,83605,51.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2014,2014,32,84079,38.1
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2015,2015,64,84237,76
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2016,2016,75,82591,90.8
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2017,2017,77,82400,93.4
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2018,2018,77,79378,97
,45-54 years,45-54,New York,36,"Bronx County, NY",36005,White,2106-3,2019,2019,72,77159,93.3
,45-54 years,45-54,New York,36,"Broome County, NY",36007,White,2106-3,2015,2015,10,23520,Unreliable
,45-54 years,45-54,New York,36,"Broome County, NY",36007,White,2106-3,2016,2016,14,22453,Unreliable
,45-54 years,45-54,New York,36,"Broome County, NY",36007,White,2106-3,2017,2017,14,21191,Unreliable
,45-54 years,45-54,New York,36,"Broome County, NY",36007,White,2106-3,2019,2019,10,18923,Unreliable
,45-54 years,45-54,New York,36,"Chemung County, NY",36015,White,2106-3,2019,2019,10,9336,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2009,2009,11,43019,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2010,2010,11,43135,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2011,2011,12,42769,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2012,2012,21,41991,50
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2013,2013,16,41243,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2015,2015,18,38894,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2016,2016,12,37725,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2017,2017,21,36284,57.9
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2018,2018,14,34726,Unreliable
,45-54 years,45-54,New York,36,"Dutchess County, NY",36027,White,2106-3,2019,2019,12,33182,Unreliable
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2007,2007,18,122278,Unreliable
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2008,2008,22,121999,18
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2009,2009,29,121531,23.9
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2010,2010,18,120389,Unreliable
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2011,2011,24,118184,20.3
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2012,2012,30,115807,25.9
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2013,2013,35,112746,31
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2014,2014,34,110166,30.9
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2015,2015,51,107551,47.4
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2016,2016,46,104651,44
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2017,2017,60,101367,59.2
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2018,2018,27,97242,27.8
,45-54 years,45-54,New York,36,"Erie County, NY",36029,White,2106-3,2019,2019,30,93124,32.2
,45-54 years,45-54,New York,36,"Jefferson County, NY",36045,White,2106-3,2017,2017,10,11314,Unreliable
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,1999,1999,38,115795,32.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2000,2000,28,118447,23.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2001,2001,34,122617,27.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2002,2002,30,124870,24
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2003,2003,21,126852,16.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2004,2004,33,128366,25.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2005,2005,49,129815,37.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2006,2006,39,130668,29.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2007,2007,50,131491,38
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2008,2008,30,132825,22.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2009,2009,24,134289,17.9
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2010,2010,19,134574,Unreliable
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2011,2011,25,134005,18.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2012,2012,22,132613,16.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2013,2013,17,130967,Unreliable
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2014,2014,25,129539,19.3
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2015,2015,21,126897,16.5
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2016,2016,23,123951,18.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2017,2017,36,121218,29.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2018,2018,29,115287,25.2
,45-54 years,45-54,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2019,2019,34,110353,30.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,1999,1999,33,156258,21.1
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2000,2000,30,159987,18.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2001,2001,31,162090,19.1
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2002,2002,44,159538,27.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2003,2003,47,156639,30
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2004,2004,41,154342,26.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2005,2005,50,152082,32.9
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2006,2006,48,149656,32.1
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2007,2007,44,147641,29.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2008,2008,33,146169,22.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2009,2009,50,145292,34.4
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2010,2010,36,144024,25
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2011,2011,36,142818,25.2
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2012,2012,39,142684,27.3
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2013,2013,47,143211,32.8
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2014,2014,44,143265,30.7
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2015,2015,48,144386,33.2
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2016,2016,56,143223,39.1
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2017,2017,48,142814,33.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2018,2018,54,139927,38.6
,45-54 years,45-54,New York,36,"Kings County, NY",36047,White,2106-3,2019,2019,42,138141,30.4
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,Black or African American,2054-5,2018,2018,10,14941,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,Black or African American,2054-5,2019,2019,16,14641,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2006,2006,10,94755,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2007,2007,21,94929,22.1
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2008,2008,17,94878,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2009,2009,16,94487,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2010,2010,18,93875,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2011,2011,24,92178,26
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2012,2012,12,90254,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2013,2013,22,87931,25
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2014,2014,23,85806,26.8
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2015,2015,15,83685,Unreliable
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2016,2016,23,81179,28.3
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2017,2017,47,78360,60
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2018,2018,34,75171,45.2
,45-54 years,45-54,New York,36,"Monroe County, NY",36055,White,2106-3,2019,2019,40,71759,55.7
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2001,2001,12,170280,Unreliable
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2003,2003,10,170469,Unreliable
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2006,2006,41,173934,23.6
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2007,2007,23,173850,13.2
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2008,2008,37,173879,21.3
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2009,2009,29,173985,16.7
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2010,2010,21,173599,12.1
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2011,2011,39,171153,22.8
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2012,2012,36,168605,21.4
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2013,2013,28,164306,17
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2014,2014,39,160538,24.3
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2015,2015,27,156370,17.3
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2016,2016,34,151779,22.4
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2017,2017,51,146693,34.8
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2018,2018,27,140295,19.2
,45-54 years,45-54,New York,36,"Nassau County, NY",36059,White,2106-3,2019,2019,43,134337,32
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,1999,1999,23,42535,54.1
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2000,2000,17,42830,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2001,2001,16,43809,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2002,2002,13,44124,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2003,2003,25,44521,56.2
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2004,2004,19,44926,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2005,2005,30,44870,66.9
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2006,2006,21,45113,46.5
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2007,2007,17,44931,Unreliable
